time,open,high,low,close,volume
1631664000,0.73186,0.73388,0.73013,0.73333,27764
1631750400,0.73326,0.7347,0.72741,0.72935,28120
1631836800,0.72926,0.73217,0.72623,0.72645,29926
1632096000,0.72616,0.72683,0.72201,0.72524,39171
1632182400,0.72516,0.7283,0.72218,0.72334,37255
1632268800,0.72293,0.72965,0.72237,0.72384,38343
1632355200,0.72395,0.73155,0.7223,0.72964,33738
1632441600,0.72927,0.73165,0.72359,0.72613,31053
1632700800,0.7254,0.72938,0.72455,0.72866,31323
1632787200,0.72835,0.7311,0.72256,0.72421,44350
1632873600,0.72386,0.72642,0.71703,0.71752,39920
1632960000,0.71751,0.72573,0.71729,0.72247,43826
1633046400,0.7227,0.72764,0.71919,0.72621,45633
1633305600,0.72606,0.73037,0.72512,0.72888,42969
1633392000,0.72837,0.7301,0.72489,0.72899,34408
1633478400,0.72881,0.72931,0.72261,0.72738,44406
1633564800,0.727,0.73242,0.72679,0.73118,33627
1633651200,0.73092,0.7338,0.72882,0.73088,37794
1633910400,0.73081,0.73728,0.72921,0.7347,33256
1633996800,0.73445,0.73846,0.73322,0.73519,34948
1634083200,0.73472,0.73819,0.73235,0.73794,34914
1634169600,0.73748,0.74267,0.7372,0.74159,26717
1634256000,0.7415,0.74398,0.74034,0.74197,28148
1634515200,0.74146,0.74375,0.73785,0.74126,29724
1634601600,0.7411,0.74855,0.74078,0.74747,30182
1634688000,0.7471,0.75227,0.74651,0.75158,28428
1634774400,0.75109,0.75464,0.74584,0.7465,31278
1634860800,0.74665,0.75122,0.74537,0.74671,35056
1635120000,0.74647,0.75051,0.74608,0.74909,29607
1635206400,0.74875,0.75254,0.74843,0.75019,28400
1635292800,0.7501,0.75358,0.74873,0.75191,33207
1635379200,0.75166,0.75557,0.74796,0.75444,37824
1635465600,0.7542,0.75552,0.75003,0.7521,37080
1635724800,0.75105,0.7536,0.7486,0.75211,27844
1635811200,0.75209,0.75315,0.74206,0.74279,30798
1635897600,0.7427,0.74585,0.74123,0.74491,32933
1635984000,0.74469,0.74706,0.73829,0.73995,31542
1636070400,0.73979,0.74121,0.73601,0.74018,31832
1636329600,0.73952,0.74311,0.73843,0.74242,23947
1636416000,0.74227,0.74313,0.73607,0.73793,31465
1636502400,0.73783,0.73933,0.73238,0.7326,36485
1636588800,0.73265,0.73411,0.72872,0.72896,30247
1636675200,0.72893,0.73351,0.72765,0.73302,26873
1636934400,0.73255,0.73706,0.73234,0.73469,26364
1637020800,0.73457,0.73679,0.72923,0.73013,30280
1637107200,0.72959,0.7305,0.72587,0.7266,30413
1637193600,0.72657,0.72932,0.725,0.72761,29931
1637280000,0.72744,0.72913,0.72269,0.72347,36204
1637539200,0.72324,0.72734,0.72209,0.72239,33104
1637625600,0.72249,0.72363,0.72068,0.72263,38155
1637712000,0.72266,0.72279,0.71839,0.71944,36974
1637798400,0.71947,0.72092,0.71801,0.71873,23380
1637884800,0.71881,0.71916,0.71124,0.71159,46701
1638144000,0.71281,0.71595,0.71138,0.71429,39166
1638230400,0.71384,0.71705,0.70632,0.71287,52059
1638316800,0.71264,0.7173,0.70948,0.71057,46810
1638403200,0.71056,0.71197,0.70845,0.70921,45095
1638489600,0.70918,0.70956,0.6993,0.69997,43068
1638748800,0.6998,0.70545,0.69978,0.70508,32379
