time,open,high,low,close,volume
1631610000,0.73386,0.73392,0.73304,0.73343,1525
1631613600,0.73344,0.73539,0.73333,0.73501,1946
1631617200,0.73501,0.73524,0.73421,0.73422,1412
1631620800,0.73422,0.73446,0.73312,0.73335,1013
1631624400,0.73335,0.73366,0.73303,0.7332,916
1631628000,0.73319,0.73339,0.73243,0.73301,1276
1631631600,0.73303,0.73648,0.73273,0.73592,2940
1631635200,0.73594,0.7369,0.73423,0.73447,3065
1631638800,0.73446,0.73446,0.7324,0.73292,3334
1631642400,0.73293,0.7336,0.73273,0.73339,1756
1631646000,0.73339,0.73387,0.73306,0.73312,1035
1631649600,0.73312,0.73358,0.73256,0.73336,1208
1631653200,0.73337,0.73343,0.7316,0.73188,1371
1631656800,0.73187,0.73207,0.73133,0.73195,1427
1631660400,0.73196,0.73226,0.73193,0.7321,478
1631664000,0.73186,0.7321,0.73151,0.73196,177
1631667600,0.73194,0.73227,0.73192,0.73193,322
1631671200,0.73193,0.73197,0.73162,0.73168,400
1631674800,0.73171,0.73209,0.7312,0.73135,886
1631678400,0.73136,0.73185,0.7306,0.73084,1229
1631682000,0.73086,0.73185,0.73013,0.73183,1428
1631685600,0.73183,0.73245,0.73162,0.73213,777
1631689200,0.73213,0.73289,0.73207,0.73268,522
1631692800,0.73268,0.73273,0.73073,0.73211,1068
1631696400,0.73211,0.73252,0.73083,0.73224,1725
1631700000,0.73221,0.73301,0.73172,0.73212,1718
1631703600,0.73213,0.73318,0.73213,0.73298,1365
1631707200,0.73298,0.73367,0.73266,0.7333,1082
1631710800,0.7333,0.73348,0.73271,0.73276,807
1631714400,0.73276,0.7329,0.73147,0.73181,1331
1631718000,0.73181,0.73248,0.73156,0.73177,1879
1631721600,0.73177,0.73366,0.73155,0.73348,2560
1631725200,0.73349,0.73388,0.73195,0.73259,2900
1631728800,0.73263,0.73294,0.73218,0.73235,1636
1631732400,0.73235,0.73258,0.732,0.73232,1033
1631736000,0.73232,0.73326,0.7323,0.73277,906
1631739600,0.73275,0.73306,0.73253,0.73253,850
1631743200,0.73254,0.73339,0.73238,0.73337,903
1631746800,0.73335,0.73344,0.73313,0.73333,260
1631750400,0.73326,0.73333,0.73287,0.73318,101
1631754000,0.73316,0.73428,0.73316,0.73427,442
1631757600,0.73427,0.7344,0.73373,0.73411,465
1631761200,0.73411,0.7344,0.73357,0.73428,823
1631764800,0.73427,0.7347,0.73345,0.73359,1246
1631768400,0.73359,0.73362,0.73257,0.73294,1054
1631772000,0.73293,0.73311,0.73209,0.73242,758
1631775600,0.73242,0.73267,0.73224,0.73238,616
1631779200,0.73239,0.7327,0.73155,0.73155,881
1631782800,0.73152,0.73232,0.73101,0.73109,1529
1631786400,0.73109,0.73244,0.73088,0.73139,1903
1631790000,0.7314,0.73186,0.73095,0.73175,1428
1631793600,0.73175,0.73209,0.73102,0.73159,1031
1631797200,0.73159,0.73175,0.73119,0.73175,943
1631800800,0.73175,0.73226,0.73168,0.73202,1003
1631804400,0.73201,0.73226,0.73033,0.73063,2395
1631808000,0.73062,0.73077,0.72871,0.72917,2657
1631811600,0.72914,0.72914,0.72741,0.72778,2599
1631815200,0.72778,0.72878,0.72753,0.72871,1555
1631818800,0.72872,0.72905,0.72852,0.72875,766
1631822400,0.72875,0.72923,0.72837,0.72916,1023
1631826000,0.72916,0.7296,0.72903,0.7295,895
1631829600,0.7295,0.73015,0.72911,0.72944,1453
1631833200,0.72943,0.72975,0.72928,0.72935,554
1631836800,0.72926,0.72961,0.72868,0.72928,193
1631840400,0.7292,0.72968,0.72919,0.72967,313
1631844000,0.72967,0.72974,0.72902,0.72913,404
1631847600,0.72914,0.72941,0.72854,0.7287,933
1631851200,0.72869,0.72941,0.72813,0.72827,1451
1631854800,0.72827,0.72916,0.72817,0.72907,1211
1631858400,0.72907,0.72986,0.72893,0.72951,923
1631862000,0.72952,0.73023,0.72952,0.73021,791
1631865600,0.73022,0.73071,0.73015,0.73031,932
1631869200,0.73028,0.73098,0.73009,0.7309,1215
1631872800,0.7309,0.73175,0.73077,0.73165,1542
1631876400,0.73169,0.73217,0.73133,0.73172,1433
1631880000,0.73172,0.73197,0.73063,0.73098,1601
1631883600,0.73098,0.73098,0.72988,0.73034,1438
1631887200,0.73033,0.73108,0.73021,0.73094,1175
1631890800,0.73094,0.73182,0.73079,0.73108,1487
1631894400,0.73107,0.73138,0.729,0.72908,2511
1631898000,0.72907,0.72926,0.72677,0.72741,2912
1631901600,0.72739,0.72786,0.72659,0.72752,2213
1631905200,0.72752,0.72819,0.72734,0.72739,1103
1631908800,0.72739,0.72754,0.72663,0.72674,971
1631912400,0.72674,0.72754,0.72665,0.72719,1225
1631916000,0.7272,0.72758,0.72698,0.72721,1295
1631919600,0.72721,0.72722,0.72623,0.72645,654
1632096000,0.72616,0.7266,0.72612,0.72658,166
1632099600,0.72652,0.7267,0.72593,0.72648,517
1632103200,0.72646,0.72655,0.72599,0.72637,442
1632106800,0.72635,0.72683,0.7259,0.72598,878
1632110400,0.72598,0.72599,0.7243,0.72433,1140
1632114000,0.72433,0.72442,0.72266,0.72315,1398
1632117600,0.72315,0.72367,0.72301,0.72322,844
1632121200,0.72322,0.72359,0.72308,0.72322,667
1632124800,0.72322,0.72433,0.72313,0.72416,1129
