time,open,high,low,close,volume
1631608200,0.73426,0.73428,0.73378,0.73385,546
1631610000,0.73386,0.73392,0.73315,0.73354,854
1631611800,0.73355,0.73366,0.73304,0.73343,671
1631613600,0.73344,0.73454,0.73333,0.73446,1114
1631615400,0.73446,0.73539,0.73443,0.73501,832
1631617200,0.73501,0.73524,0.73437,0.73457,806
1631619000,0.73457,0.73493,0.73421,0.73422,606
1631620800,0.73422,0.73446,0.73388,0.73433,505
1631622600,0.73433,0.73445,0.73312,0.73335,508
1631624400,0.73335,0.73345,0.73305,0.73319,481
1631626200,0.73319,0.73366,0.73303,0.7332,435
1631628000,0.73319,0.7333,0.73302,0.73316,527
1631629800,0.73316,0.73339,0.73243,0.73301,749
1631631600,0.73303,0.73363,0.73273,0.73356,753
1631633400,0.73353,0.73648,0.73344,0.73592,2187
1631635200,0.73594,0.7369,0.73586,0.73659,1273
1631637000,0.73659,0.73668,0.73423,0.73447,1792
1631638800,0.73446,0.73446,0.73262,0.73322,1701
1631640600,0.73322,0.73335,0.7324,0.73292,1633
1631642400,0.73293,0.73356,0.73273,0.73346,1070
1631644200,0.73345,0.7336,0.73308,0.73339,686
1631646000,0.73339,0.73386,0.73333,0.73378,502
1631647800,0.7338,0.73387,0.73306,0.73312,533
1631649600,0.73312,0.73336,0.73256,0.73327,621
1631651400,0.73327,0.73358,0.73282,0.73336,587
1631653200,0.73337,0.73343,0.73228,0.73233,649
1631655000,0.73233,0.73233,0.7316,0.73188,722
1631656800,0.73187,0.73201,0.73144,0.73158,715
1631658600,0.73157,0.73207,0.73133,0.73195,712
1631660400,0.73196,0.7322,0.73193,0.73218,284
1631662200,0.73218,0.73226,0.73207,0.7321,194
1631664000,0.73186,0.73198,0.73151,0.73197,73
1631665800,0.73197,0.7321,0.73192,0.73196,104
1631667600,0.73194,0.73227,0.73194,0.73206,154
1631669400,0.73204,0.73207,0.73192,0.73193,168
1631671200,0.73193,0.73197,0.73162,0.73176,208
1631673000,0.73175,0.73188,0.73165,0.73168,192
1631674800,0.73171,0.73209,0.73162,0.7319,425
1631676600,0.73191,0.73196,0.7312,0.73135,461
1631678400,0.73136,0.73185,0.73116,0.73129,567
1631680200,0.73129,0.73164,0.7306,0.73084,662
1631682000,0.73086,0.73155,0.73013,0.73144,707
1631683800,0.73141,0.73185,0.73137,0.73183,721
1631685600,0.73183,0.73234,0.73162,0.73234,420
1631687400,0.73233,0.73245,0.73192,0.73213,357
1631689200,0.73213,0.73289,0.73207,0.73268,272
1631691000,0.73268,0.73289,0.73239,0.73268,250
1631692800,0.73268,0.73273,0.73073,0.73151,568
1631694600,0.73151,0.73255,0.73143,0.73211,500
1631696400,0.73211,0.73245,0.73113,0.73119,865
1631698200,0.73119,0.73252,0.73083,0.73224,860
1631700000,0.73221,0.73301,0.73175,0.73286,1037
1631701800,0.73278,0.73289,0.73172,0.73212,681
1631703600,0.73213,0.73303,0.73213,0.73298,656
1631705400,0.73297,0.73318,0.73252,0.73298,709
1631707200,0.73298,0.73367,0.73266,0.73287,623
1631709000,0.73288,0.7335,0.73273,0.7333,459
1631710800,0.7333,0.73348,0.73297,0.73325,432
1631712600,0.73325,0.73333,0.73271,0.73276,375
1631714400,0.73276,0.7329,0.73193,0.73216,682
1631716200,0.73216,0.7322,0.73147,0.73181,649
1631718000,0.73181,0.73236,0.73158,0.73193,655
1631719800,0.73184,0.73248,0.73156,0.73177,1224
