time,open,high,low,close,volume
1632268800,128.038,128.778,127.931,128.378,43860
1632355200,128.299,129.545,128.297,129.525,39526
1632441600,129.471,129.847,129.385,129.799,36126
1632700800,129.764,129.936,129.483,129.838,39033
1632787200,129.814,130.374,129.667,130.284,46222
1632873600,130.237,130.475,129.675,129.855,45762
1632960000,129.833,129.963,128.789,128.813,46800
1633046400,128.798,129.046,128.55,128.767,50820
1633305600,128.621,129.379,128.586,128.89,43543
1633392000,128.84,129.388,128.76,129.27,41004
1633478400,129.26,129.498,128.334,128.783,48318
1633564800,128.701,129.031,128.631,128.974,36408
1633651200,128.95,129.907,128.905,129.893,39994
1633910400,129.731,131.225,129.691,130.938,36169
1633996800,130.873,131.275,130.676,130.996,40634
1634083200,130.969,131.466,130.885,131.32,42488
1634169600,131.23,131.862,131.23,131.838,33939
1634256000,131.808,132.775,131.806,132.516,40450
1634515200,132.416,132.787,132.151,132.739,42302
1634601600,132.682,133.189,132.626,133.063,39445
1634688000,132.982,133.48,132.74,133.208,39007
1634774400,133.121,133.372,132.262,132.519,40630
1634860800,132.474,132.795,131.92,132.15,41319
1635120000,132.158,132.601,131.863,132.029,37434
1635206400,131.975,132.669,131.964,132.383,33339
1635292800,132.274,132.525,131.579,132.065,43558
1635379200,132.051,132.702,131.558,132.68,47916
1635465600,132.643,132.919,131.607,131.774,47156
1635724800,131.816,132.444,131.797,132.316,40677
1635811200,132.304,132.392,131.477,131.95,40475
1635897600,131.977,132.413,131.75,132.386,39010
1635984000,132.31,132.563,131.019,131.435,43893
1636070400,131.382,131.589,130.836,131.161,43810
1636329600,131.048,131.43,130.903,131.192,39266
1636416000,131.164,131.268,130.68,130.881,43772
1636502400,130.809,131.419,130.644,130.727,49164
1636588800,130.737,130.997,130.442,130.585,35996
1636675200,130.557,130.763,130.239,130.366,39079
1636934400,130.417,130.6,129.683,129.759,38761
1637020800,129.726,130.115,129.624,129.97,45220
1637107200,129.962,130.081,129.037,129.193,46424
1637193600,129.139,129.946,129.072,129.929,42143
1637280000,129.931,129.987,127.981,128.662,50557
1637539200,128.625,129.326,128.534,129.073,49024
1637625600,129.046,129.599,128.91,129.517,50649
1637712000,129.482,129.56,128.695,129.258,50060
1637798400,129.267,129.53,129.199,129.265,32694
1637884800,129.237,129.329,127.797,128.281,70679
1638144000,128.438,128.571,127.491,128.211,59485
1638230400,128.158,128.605,127.646,128.297,68807
1638316800,128.139,128.787,127.568,127.673,59669
1638403200,127.586,128.224,127.526,127.905,56470
1638489600,127.749,128.34,127.385,127.608,53924
1638748800,127.566,128.087,127.513,128.078,45186
1638835200,128.006,128.468,127.605,127.963,41195
1638921600,127.885,129.108,127.825,128.984,46580
1639008000,128.921,129.072,127.938,128.126,37614
1639094400,128.041,128.403,127.811,128.319,41050
1639353600,128.184,128.458,128.011,128.195,35599
1639440000,128.115,128.559,127.996,128.048,38816
1639526400,127.983,128.819,127.981,128.809,41982
1639612800,128.693,129.639,128.451,128.835,48334
1639699200,128.67,128.982,127.756,127.781,46710
1639958400,127.681,128.31,127.518,128.136,48724
1640044800,128.089,128.754,128.048,128.717,37424
1640131200,128.579,129.501,128.525,129.278,35401
1640217600,129.202,129.729,129.051,129.608,30451
1640304000,129.467,129.751,129.281,129.337,32200
1640563200,129.245,130.154,129.243,130.124,24110
1640649600,130.066,130.228,129.61,129.846,25944
1640736000,129.842,130.561,129.653,130.513,32756
1640822400,130.399,130.594,130.126,130.326,29940
1640908800,130.259,131.042,130.162,130.963,27563
1641168000,130.739,131.003,130.024,130.319,32533
1641254400,130.241,131.46,130.194,131.077,40709
1641340800,130.993,131.6,130.842,131.359,39322
1641427200,131.282,131.429,130.64,130.894,44920
1641513600,130.837,131.348,130.777,131.265,38307
1641772800,131.262,131.368,130.162,130.527,42801
1641859200,130.428,131.199,130.375,131.074,42916
1641945600,131.078,131.475,130.958,131.158,42204
1642032000,131.151,131.441,130.62,130.771,42406
1642118400,130.771,130.858,129.783,130.372,49778
1642377600,130.279,130.825,130.229,130.715,29214
1642464000,130.728,131.179,129.697,129.799,51721
1642550400,129.738,129.983,129.393,129.668,45386
1642636800,129.662,130.086,129.051,129.087,45875
1642723200,129.058,129.31,128.561,128.955,52517
1642982400,128.907,129.156,128.407,129.082,55076
1643068800,129.017,129.2,128.247,128.684,51965
1643155200,128.657,129.242,128.595,128.91,46533
1643241600,128.828,129.015,128.327,128.566,59898
1643328000,128.518,128.853,128.353,128.465,52073
1643587200,128.438,129.376,128.43,129.323,48278
1643673600,129.292,129.537,128.869,129.3,44656
1643760000,129.218,129.47,129.045,129.369,37924
1643846400,129.29,131.538,129.188,131.534,48771
1643932800,131.417,132.091,131.405,131.913,48218
1644192000,132.082,132.133,131.257,131.662,44809
1644278400,131.647,132.034,131.48,131.922,40010
1644364800,131.879,132.159,131.629,131.998,36798
1644451200,131.953,133.152,131.866,132.577,49836
1644537600,132.512,132.618,130.389,131.001,53409
1644796800,130.814,131.391,130.046,130.648,58939
1644883200,130.622,131.538,130.435,131.327,48317
1644969600,131.287,131.907,131.108,131.308,45842
1645056000,131.302,131.499,130.4,130.579,60348
1645142400,130.546,131.121,130.209,130.268,49867
1645401600,130.276,130.905,129.752,129.804,38028
1645488000,129.768,130.766,129.359,130.335,66307
1645574400,130.298,130.71,129.946,130.02,41710
1645660800,129.987,130.027,127.917,129.311,94856
1645747200,129.295,130.291,128.726,130.224,68236
1646006400,128.61,129.786,128.59,128.984,77682
1646092800,128.958,129.246,127.373,127.809,64632
1646179200,127.769,128.776,127.3,128.503,67868
1646265600,128.424,128.509,127.585,127.769,57354
1646352000,127.749,127.819,125.073,125.549,72670
1646611200,125.585,125.95,124.393,125.146,83780
1646697600,125.078,126.731,125.05,126.105,79358
1646784000,126.008,128.465,125.984,128.294,64202
1646870400,128.239,128.871,127.421,127.606,64119
1646956800,127.536,129.042,127.536,128.021,64535
1647216000,128.17,129.713,127.976,129.302,59481
1647302400,129.263,130.032,129.142,129.483,62161
1647388800,129.572,131.099,129.517,131.066,62217
1647475200,131.022,131.908,130.72,131.547,56194
1647561600,131.547,131.92,131.19,131.664,51833
1647820800,131.644,131.97,131.381,131.627,42377
1647907200,131.593,133.335,131.589,133.271,55971
1647993600,133.157,133.89,132.327,133.359,53776
1648080000,133.309,134.612,132.952,134.556,54285
1648166400,134.534,134.746,133.724,134.114,61098
1648425600,134.082,137.533,133.996,136.14,73223
1648512000,135.853,137.308,135.312,136.246,71376
1648598400,136.209,136.668,134.883,135.95,68828
1648684800,135.937,136.841,134.518,134.698,66861
1648771200,134.58,135.88,134.577,135.369,56929
1649030400,135.323,135.683,134.57,134.708,48891
1649116800,134.726,135.126,134.297,134.788,50656
1649203200,134.705,135.475,134.675,134.893,56922
1649289600,134.808,135.502,134.42,134.899,53361
1649376000,134.836,135.371,134.356,135.162,51063
1649635200,135.32,137.129,135.265,136.465,56481
1649721600,136.42,136.644,135.543,135.773,58952
1649808000,135.687,136.873,135.631,136.857,59737
1649894400,136.686,136.939,135.518,136.343,59947
1649980800,136.291,136.895,136.26,136.538,67129
1650240000,136.544,137.023,136.458,136.915,44119
1650326400,136.833,139.096,136.824,139.077,64272
1650412800,139.02,139.692,138.397,138.731,71953
1650499200,138.566,140.002,138.566,139.085,67599
1650585600,139.073,139.489,138.26,138.848,69143
1650844800,138.674,139.19,136.484,137.242,79066
1650931200,137.236,137.539,135.347,135.353,72370
1651017600,135.312,136.155,134.782,135.625,74673
1651104000,135.622,137.991,135.433,137.411,80455
1651190400,137.365,137.985,136.515,136.985,71897
1651449600,136.773,137.64,136.522,136.784,66100
1651536000,136.706,137.372,136.545,136.96,59848
1651622400,136.877,137.429,136.603,137.172,55704
1651708800,137.071,137.575,136.828,137.213,74485
1651795200,137.149,138.156,136.74,137.666,77885
1652054400,137.606,138.318,137.07,137.635,70987
1652140800,137.525,138.08,137.036,137.344,75141
1652227200,137.33,137.708,136.183,136.671,69254
1652313600,136.551,136.746,132.659,133.201,83880
1652400000,133.116,134.752,133.09,134.542,67292
1652659200,134.516,135.05,133.751,134.719,62705
1652745600,134.689,136.694,134.497,136.479,62073
1652832000,136.461,136.668,134.078,134.205,61536
1652918400,134.078,135.462,133.928,135.289,81185
1653004800,135.206,135.798,134.583,135.081,71470
1653264000,135.066,136.801,134.659,136.747,63061
1653350400,136.599,136.786,135.556,136.194,68399
1653436800,136.106,136.236,134.994,135.931,67840
1653523200,135.88,136.636,135.232,136.326,62789
1653609600,136.264,136.727,135.846,136.418,58449
1653868800,136.305,137.667,136.229,137.56,47338
1653955200,137.424,138.237,136.801,138.152,71630
1654041600,138.055,138.974,138.055,138.647,64206
1654128000,138.533,139.6,138.393,139.591,54556
1654214400,139.411,140.37,139.407,140.197,52219
1654473600,140.32,141.125,139.843,141.032,56164
1654560000,141.041,142.059,140.987,142.005,66603
1654646400,141.897,144.253,141.89,143.873,67495
1654732800,143.598,144.183,142.348,142.695,73185
1654819200,142.586,142.791,140.805,141.37,71363
1655078400,141.262,141.773,139.393,139.936,85653
1655164800,139.926,141.103,139.487,141.094,86081
1655251200,141.022,141.494,139.535,139.807,91115
1655337600,139.628,140.606,137.854,139.489,92739
1655424000,139.4,141.974,139.398,141.653,94348
1655683200,141.463,142.353,141.421,141.989,63844
1655769600,141.824,143.996,141.821,143.984,68305
1655856000,143.96,144.246,142.672,143.947,77499
1655942400,143.902,143.987,141.417,142.02,83898
1656028800,141.993,142.771,141.402,142.681,68764
1656288000,142.533,143.482,142.035,143.38,70041
1656374400,143.299,144.276,142.867,143.263,71293
1656460800,143.19,143.849,142.486,142.631,73940
1656547200,142.588,142.863,141.375,142.307,77406
1656633600,142.236,142.43,139.79,141.027,119229
1656892800,140.952,141.662,140.612,141.428,73307
1656979200,141.258,142.37,138.949,139.486,114892
1657065600,139.384,139.497,137.27,138.416,123776
1657152000,138.371,139.069,137.986,138.207,100418
1657238400,138.2,138.712,136.866,138.612,111703
1657497600,138.435,139.169,137.883,137.985,107483
1657584000,137.927,138.075,137.023,137.353,116712
1657670400,137.297,138.799,137.124,138.22,119038
1657756800,138.128,139.768,137.993,139.234,130642
1657843200,139.155,139.889,138.745,139.733,106110
1658102400,139.658,140.797,139.376,140.143,95355
1658188800,139.965,141.445,139.694,141.316,108270
1658275200,141.29,141.931,140.424,140.756,104380
1658361600,140.64,142.323,140.137,140.45,127898
1658448000,140.48,140.692,138.782,138.859,118175
1658707200,139.025,140.075,138.716,139.684,99809
1658793600,139.616,139.836,138.13,138.549,90120
1658880000,138.429,139.505,138.423,139.356,95152
1658966400,139.246,139.331,136.374,136.885,115234
1659052800,136.878,137.327,135.548,136.244,117040
1659312000,136.115,136.342,134.997,135.016,111155
1659398400,135.093,135.403,133.398,135.341,128407
1659484800,135.356,136.42,134.824,136.14,119754
1659571200,136.04,136.917,135.639,136.228,107401
1659657600,136.155,137.757,135.8,137.492,101018
1659916800,137.381,137.925,137.067,137.645,94219
1660003200,137.441,138.311,137.26,138.042,80238
1660089600,137.94,138.395,136.611,136.982,102067
1660176000,136.823,137.393,136.298,137.298,98111
1660262400,137.199,137.718,136.889,136.915,90625
1660521600,136.815,137.07,135.277,135.412,87262
1660608000,135.434,136.916,134.947,136.519,90686
1660694400,136.446,137.877,136.26,137.451,95100
1660780800,137.463,137.66,136.556,137.081,92716
1660867200,137.003,137.96,136.938,137.421,81602
1661126400,137.365,137.944,136.398,136.714,90252
1661212800,136.601,137.06,135.721,136.308,98778
1661299200,136.304,136.777,135.51,136.702,98399
1661385600,136.557,136.976,136.011,136.115,88861
1661472000,136.059,137.964,135.999,136.886,89123
1661731200,137.143,138.966,136.967,138.686,94545
1661817600,138.536,139.21,138.257,139.016,99024
1661904000,138.853,139.722,138.263,139.682,101412
1661990400,139.608,139.997,138.914,139.463,100393
1662076800,139.353,140.745,139.254,139.622,95515
1662336000,139.056,139.637,138.684,139.563,81833
1662422400,139.489,141.756,139.489,141.419,114029
1662508800,141.417,144.008,141.323,143.848,119744
1662595200,143.855,144.32,143.173,144.064,113592
1662681600,144.003,144.719,142.633,143.285,110378
1662940800,143.539,145.632,143.382,144.592,103596
1663027200,144.551,145.248,144.006,144.071,105039
1663113600,144.056,144.476,142.29,142.861,118045
1663200000,142.738,143.679,142.556,143.439,100755
1663286400,143.429,143.53,142.507,143.151,98015
1663545600,143.061,143.611,142.796,143.541,80520
1663632000,143.495,144.035,143.014,143.324,94697
1663718400,143.314,143.589,141.637,141.757,113235
