time,open,high,low,close,volume
1632236400,128.486,128.531,128.266,128.296,2858
1632240000,128.302,128.325,128.143,128.232,3430
1632243600,128.234,128.244,128.024,128.049,3468
1632247200,128.049,128.199,127.998,128.188,2342
1632250800,128.188,128.218,128.106,128.141,1424
1632254400,128.142,128.161,128.037,128.115,1423
1632258000,128.115,128.152,128.07,128.078,1345
1632261600,128.081,128.118,128.052,128.085,1340
1632265200,128.085,128.086,128.025,128.061,570
1632268800,128.038,128.093,128.013,128.061,589
1632272400,128.06,128.115,128.058,128.082,876
1632276000,128.082,128.082,127.937,127.965,697
1632279600,127.965,128.086,127.931,128.037,1851
1632283200,128.037,128.412,127.957,128.283,2901
1632286800,128.28,128.328,128.232,128.311,1402
1632290400,128.311,128.329,128.277,128.309,1190
1632294000,128.308,128.387,128.279,128.38,871
1632297600,128.38,128.458,128.361,128.393,1374
1632301200,128.391,128.518,128.355,128.51,1788
1632304800,128.505,128.559,128.317,128.366,2706
1632308400,128.365,128.51,128.347,128.505,1681
1632312000,128.504,128.57,128.441,128.445,1604
1632315600,128.445,128.55,128.445,128.509,1308
1632319200,128.509,128.517,128.422,128.444,1158
1632322800,128.448,128.59,128.436,128.563,1954
1632326400,128.563,128.58,128.487,128.524,2576
1632330000,128.527,128.696,128.519,128.639,2698
1632333600,128.64,128.689,128.609,128.662,2155
1632337200,128.662,128.697,128.62,128.626,1288
1632340800,128.625,128.64,128.514,128.535,1300
1632344400,128.51,128.778,128.467,128.47,5196
1632348000,128.468,128.555,128.378,128.391,3612
1632351600,128.39,128.433,128.36,128.378,1085
1632355200,128.299,128.385,128.297,128.366,587
1632358800,128.367,128.413,128.359,128.384,656
1632362400,128.385,128.386,128.348,128.356,552
1632366000,128.356,128.425,128.337,128.401,1009
1632369600,128.402,128.526,128.381,128.513,1034
1632373200,128.512,128.558,128.474,128.516,922
1632376800,128.516,128.581,128.516,128.558,695
1632380400,128.558,128.585,128.531,128.583,539
1632384000,128.583,128.633,128.555,128.612,701
1632387600,128.612,128.762,128.592,128.724,1812
1632391200,128.724,128.894,128.698,128.807,2962
1632394800,128.809,128.934,128.734,128.863,2426
1632398400,128.863,129.054,128.856,128.891,2447
1632402000,128.891,128.935,128.578,128.694,2952
1632405600,128.691,128.954,128.636,128.899,2702
1632409200,128.901,129.14,128.843,129.109,3055
1632412800,129.107,129.259,129.044,129.199,3277
1632416400,129.201,129.398,129.192,129.384,3049
1632420000,129.384,129.414,129.264,129.283,2468
