time,open,high,low,close,volume
1632235500,128.467,128.496,128.446,128.486,426
1632236400,128.486,128.531,128.329,128.345,576
1632237300,128.347,128.486,128.345,128.435,874
1632238200,128.438,128.528,128.388,128.421,689
1632239100,128.422,128.43,128.266,128.296,719
1632240000,128.302,128.325,128.213,128.272,736
1632240900,128.272,128.272,128.143,128.193,767
1632241800,128.193,128.315,128.149,128.255,992
1632242700,128.255,128.324,128.176,128.232,935
1632243600,128.234,128.244,128.1,128.167,934
1632244500,128.167,128.197,128.091,128.174,853
1632245400,128.177,128.188,128.065,128.076,800
1632246300,128.075,128.096,128.024,128.049,881
1632247200,128.049,128.088,128.005,128.07,765
1632248100,128.071,128.077,128.0,128.002,540
1632249000,128.002,128.128,127.998,128.086,582
1632249900,128.086,128.199,128.083,128.188,455
1632250800,128.188,128.218,128.173,128.186,443
1632251700,128.186,128.197,128.158,128.163,387
1632252600,128.163,128.18,128.142,128.155,267
1632253500,128.155,128.162,128.106,128.141,327
1632254400,128.142,128.161,128.125,128.144,424
1632255300,128.141,128.148,128.081,128.102,329
1632256200,128.103,128.108,128.074,128.09,314
1632257100,128.09,128.119,128.037,128.115,356
1632258000,128.115,128.152,128.111,128.136,371
1632258900,128.136,128.142,128.085,128.091,296
1632259800,128.091,128.125,128.09,128.109,333
1632260700,128.106,128.134,128.07,128.078,345
1632261600,128.081,128.098,128.052,128.082,312
1632262500,128.082,128.108,128.078,128.101,384
1632263400,128.099,128.118,128.085,128.114,332
1632264300,128.114,128.117,128.079,128.085,312
1632265200,128.085,128.086,128.04,128.047,252
1632266100,128.047,128.052,128.025,128.045,97
1632267000,128.047,128.077,128.039,128.075,98
1632267900,128.076,128.079,128.057,128.061,123
1632268800,128.038,128.058,128.013,128.058,33
1632269700,128.061,128.093,128.044,128.073,62
1632270600,128.072,128.089,128.056,128.071,118
1632271500,128.072,128.072,128.042,128.061,376
1632272400,128.06,128.113,128.058,128.108,440
1632273300,128.108,128.115,128.084,128.087,164
1632274200,128.087,128.111,128.077,128.108,167
1632275100,128.108,128.108,128.078,128.082,105
1632276000,128.082,128.082,127.997,128.028,231
1632276900,128.028,128.036,128.019,128.019,99
1632277800,128.02,128.029,127.96,127.963,136
1632278700,127.963,127.981,127.937,127.965,231
1632279600,127.965,128.011,127.931,127.979,508
1632280500,127.977,128.051,127.945,128.042,361
1632281400,128.042,128.086,128.023,128.06,481
1632282300,128.06,128.074,127.984,128.037,501
1632283200,128.037,128.318,127.957,128.252,905
1632284100,128.256,128.392,128.23,128.392,850
1632285000,128.388,128.412,128.301,128.33,660
1632285900,128.33,128.35,128.255,128.283,486
1632286800,128.28,128.314,128.232,128.307,441
1632287700,128.307,128.31,128.243,128.278,353
1632288600,128.278,128.326,128.247,128.296,257
1632289500,128.296,128.328,128.285,128.311,351
1632290400,128.311,128.329,128.295,128.3,360
1632291300,128.3,128.317,128.282,128.291,319
1632292200,128.294,128.313,128.277,128.29,280
1632293100,128.289,128.311,128.283,128.309,231
1632294000,128.308,128.325,128.29,128.292,209
