time,open,high,low,close,volume
1632236400,149.644,149.754,149.348,149.371,3064
1632240000,149.382,149.528,149.129,149.378,3717
1632243600,149.381,149.404,148.956,149.008,3825
1632247200,149.005,149.413,148.961,149.384,2577
1632250800,149.385,149.434,149.187,149.26,2203
1632254400,149.26,149.288,149.135,149.223,1872
1632258000,149.222,149.298,149.17,149.236,2122
1632261600,149.239,149.342,149.201,149.205,1933
1632265200,149.205,149.216,149.152,149.19,928
1632268800,149.153,149.232,149.11,149.177,1241
1632272400,149.177,149.262,149.166,149.213,943
1632276000,149.213,149.218,149.043,149.075,787
1632279600,149.072,149.266,149.017,149.192,1979
1632283200,149.193,149.742,149.112,149.464,3273
1632286800,149.464,149.502,149.364,149.493,1609
1632290400,149.493,149.516,149.389,149.433,1378
1632294000,149.433,149.518,149.375,149.513,850
1632297600,149.513,149.641,149.489,149.517,1319
1632301200,149.516,149.629,149.476,149.586,1873
1632304800,149.585,149.645,149.202,149.235,2941
1632308400,149.238,149.426,149.238,149.351,1913
1632312000,149.35,149.421,149.263,149.31,1763
1632315600,149.311,149.542,149.294,149.355,1258
1632319200,149.354,149.436,149.307,149.4,1462
1632322800,149.4,149.435,149.231,149.354,2044
1632326400,149.354,149.432,149.226,149.367,2639
1632330000,149.369,149.615,149.35,149.555,2856
1632333600,149.559,149.808,149.539,149.803,2412
1632337200,149.803,149.823,149.628,149.638,1599
1632340800,149.637,149.666,149.588,149.595,1581
1632344400,149.59,149.96,149.519,149.551,5621
1632348000,149.551,149.804,149.467,149.497,4162
1632351600,149.499,149.568,149.496,149.526,877
1632355200,149.47,149.609,149.364,149.509,1780
1632358800,149.517,149.572,149.515,149.55,705
1632362400,149.55,149.573,149.498,149.541,741
1632366000,149.541,149.638,149.529,149.585,1104
1632369600,149.589,149.779,149.56,149.767,1093
1632373200,149.768,149.786,149.684,149.689,1015
1632376800,149.688,149.842,149.688,149.802,817
1632380400,149.802,149.853,149.743,149.85,620
1632384000,149.85,149.892,149.774,149.844,826
1632387600,149.84,150.052,149.803,150.003,2109
1632391200,149.999,150.176,149.922,150.147,3055
1632394800,150.148,150.288,150.04,150.128,2611
1632398400,150.128,150.418,150.125,150.37,2640
1632402000,150.373,150.423,149.928,150.295,3421
1632405600,150.292,150.96,150.164,150.939,3453
1632409200,150.95,151.096,150.731,151.073,3219
1632412800,151.071,151.321,150.87,151.157,3526
1632416400,151.158,151.418,151.141,151.358,2953
1632420000,151.355,151.465,151.23,151.432,2553
1632423600,151.432,151.482,151.383,151.434,1688
1632427200,151.436,151.449,151.352,151.377,1309
1632430800,151.377,151.398,151.301,151.386,1147
1632434400,151.387,151.439,151.308,151.333,1895
1632438000,151.333,151.421,151.309,151.371,1154
1632441600,151.317,151.374,151.279,151.321,603
1632445200,151.323,151.412,151.311,151.363,666
1632448800,151.362,151.432,151.346,151.38,847
1632452400,151.38,151.65,151.359,151.6,2184
1632456000,151.6,151.624,151.35,151.356,1740
1632459600,151.359,151.466,151.356,151.46,1301
1632463200,151.46,151.602,151.439,151.541,1190
1632466800,151.542,151.574,151.504,151.547,1104
1632470400,151.548,151.58,151.484,151.531,1126
1632474000,151.53,151.736,151.526,151.7,2066
1632477600,151.701,151.701,151.398,151.444,3313
1632481200,151.444,151.495,151.134,151.463,3060
1632484800,151.463,151.468,151.255,151.263,2013
1632488400,151.264,151.407,151.199,151.256,2143
1632492000,151.257,151.262,151.138,151.165,2266
1632495600,151.165,151.169,151.028,151.086,2624
1632499200,151.081,151.553,151.002,151.5,3279
1632502800,151.499,151.544,151.326,151.377,3013
1632506400,151.379,151.477,151.24,151.456,2330
1632510000,151.457,151.584,151.452,151.506,1834
1632513600,151.505,151.505,151.358,151.358,1162
1632517200,151.358,151.403,151.324,151.347,764
1632520800,151.346,151.435,151.335,151.4,1111
1632524400,151.397,151.494,151.387,151.407,802
1632700800,151.237,151.349,151.095,151.215,474
1632704400,151.222,151.469,151.222,151.444,767
1632708000,151.44,151.451,151.318,151.403,683
1632711600,151.402,151.479,151.289,151.371,1950
1632715200,151.37,151.394,151.283,151.349,1569
1632718800,151.349,151.364,151.161,151.191,1273
1632722400,151.191,151.209,151.124,151.191,1053
1632726000,151.191,151.249,151.173,151.197,678
1632729600,151.198,151.352,151.192,151.333,1072
1632733200,151.335,151.425,151.181,151.393,2176
1632736800,151.395,151.607,151.236,151.551,2782
1632740400,151.555,152.094,151.502,151.972,2895
1632744000,151.972,152.041,151.823,151.994,2584
1632747600,151.994,152.046,151.886,151.93,2173
1632751200,151.932,152.161,151.927,151.965,2406
1632754800,151.971,152.151,151.781,151.976,3780
1632758400,151.976,152.071,151.882,152.042,3521
1632762000,152.043,152.184,151.984,152.123,3079
1632765600,152.125,152.185,152.008,152.158,2539
1632769200,152.158,152.173,152.055,152.133,1517
1632772800,152.133,152.134,152.04,152.086,1376
1632776400,152.085,152.199,152.085,152.182,1327
1632780000,152.18,152.185,152.109,152.116,1031
1632783600,152.115,152.168,152.106,152.111,553
1632787200,152.029,152.109,151.985,152.068,681
1632790800,152.068,152.113,152.057,152.06,480
1632794400,152.06,152.112,152.014,152.029,698
1632798000,152.028,152.129,151.915,152.065,1690
1632801600,152.066,152.163,151.981,152.134,1511
1632805200,152.134,152.375,152.133,152.361,1308
1632808800,152.361,152.456,152.314,152.424,1066
1632812400,152.424,152.466,152.371,152.442,1239
1632816000,152.442,152.531,152.397,152.516,1756
1632819600,152.516,152.573,152.358,152.434,2888
1632823200,152.433,152.485,152.067,152.154,3479
1632826800,152.161,152.174,151.989,152.155,3008
1632830400,152.156,152.201,151.825,151.88,2697
1632834000,151.877,151.88,151.49,151.572,2876
1632837600,151.583,151.724,151.445,151.532,3378
1632841200,151.532,151.539,151.04,151.106,3891
1632844800,151.106,151.225,150.951,151.107,3947
1632848400,151.108,151.108,150.544,150.856,5114
1632852000,150.855,150.907,150.642,150.702,3626
1632855600,150.697,150.87,150.668,150.744,2577
1632859200,150.738,150.95,150.704,150.861,2001
1632862800,150.861,151.023,150.797,151.013,2132
1632866400,151.014,151.052,150.875,150.924,2230
1632870000,150.922,151.045,150.918,150.96,1357
1632873600,150.879,150.978,150.83,150.945,1420
1632877200,150.936,151.012,150.936,150.989,624
1632880800,150.99,151.07,150.957,151.026,833
1632884400,151.026,151.156,150.969,151.116,2136
1632888000,151.121,151.194,150.944,151.015,2648
1632891600,151.016,151.105,150.917,150.923,1796
1632895200,150.923,150.993,150.806,150.932,1617
1632898800,150.931,151.117,150.904,151.069,1364
1632902400,151.069,151.12,150.896,151.045,2254
1632906000,151.051,151.107,150.833,150.865,3230
1632909600,150.874,150.882,150.461,150.462,3656
1632913200,150.457,150.569,150.279,150.307,2832
1632916800,150.307,150.545,150.298,150.504,2167
1632920400,150.506,150.617,150.325,150.348,2216
1632924000,150.346,150.392,150.098,150.276,2788
1632927600,150.273,150.366,150.107,150.212,3245
1632931200,150.207,150.303,149.914,150.083,3893
1632934800,150.082,150.354,149.946,150.242,4369
1632938400,150.244,150.436,150.196,150.267,2910
1632942000,150.269,150.321,150.088,150.282,2189
1632945600,150.281,150.396,150.254,150.363,2234
1632949200,150.363,150.526,150.311,150.452,2293
1632952800,150.451,150.471,150.187,150.208,1524
1632956400,150.208,150.36,150.208,150.335,998
1632960000,150.296,150.358,150.264,150.307,999
1632963600,150.305,150.379,150.305,150.373,720
1632967200,150.374,150.384,150.288,150.3,841
1632970800,150.299,150.428,150.252,150.385,1938
1632974400,150.387,150.462,150.283,150.347,2020
1632978000,150.347,150.488,150.327,150.446,1419
1632981600,150.444,150.578,150.399,150.577,926
1632985200,150.578,150.646,150.529,150.531,940
1632988800,150.528,150.566,150.256,150.273,1496
1632992400,150.277,150.645,150.272,150.632,2406
1632996000,150.632,150.654,150.304,150.391,3387
