time,open,high,low,close,volume
1632236400,149.644,149.754,149.474,149.624,1493
1632238200,149.624,149.744,149.348,149.371,1571
1632240000,149.382,149.417,149.188,149.231,1606
1632241800,149.22,149.528,149.129,149.378,2111
1632243600,149.381,149.404,149.144,149.264,2030
1632245400,149.27,149.297,148.956,149.008,1795
1632247200,149.005,149.17,148.961,149.058,1450
1632249000,149.063,149.413,149.054,149.384,1127
1632250800,149.385,149.434,149.297,149.306,1297
1632252600,149.306,149.335,149.187,149.26,906
1632254400,149.26,149.288,149.159,149.181,959
1632256200,149.181,149.228,149.135,149.223,913
1632258000,149.222,149.271,149.17,149.193,970
1632259800,149.193,149.298,149.181,149.236,1152
1632261600,149.239,149.342,149.213,149.317,1018
1632263400,149.314,149.327,149.201,149.205,915
1632265200,149.205,149.205,149.152,149.18,548
1632267000,149.18,149.216,149.178,149.19,380
1632268800,149.153,149.205,149.127,149.193,130
1632270600,149.194,149.232,149.11,149.177,1111
1632272400,149.177,149.261,149.166,149.23,646
1632274200,149.23,149.262,149.21,149.213,297
1632276000,149.213,149.218,149.118,149.142,356
1632277800,149.148,149.16,149.043,149.075,431
1632279600,149.072,149.198,149.017,149.194,970
1632281400,149.193,149.266,149.121,149.192,1009
1632283200,149.193,149.708,149.112,149.698,1922
1632285000,149.696,149.742,149.452,149.464,1351
1632286800,149.464,149.479,149.364,149.45,912
1632288600,149.45,149.502,149.401,149.493,697
1632290400,149.493,149.516,149.419,149.437,664
1632292200,149.439,149.469,149.389,149.433,714
1632294000,149.433,149.459,149.401,149.401,396
1632295800,149.401,149.518,149.375,149.513,454
1632297600,149.513,149.641,149.489,149.586,679
1632299400,149.586,149.609,149.5,149.517,640
1632301200,149.516,149.629,149.476,149.508,954
1632303000,149.511,149.624,149.486,149.586,919
1632304800,149.585,149.645,149.375,149.386,1517
1632306600,149.386,149.463,149.202,149.235,1424
1632308400,149.238,149.408,149.238,149.391,990
1632310200,149.392,149.426,149.288,149.351,923
1632312000,149.35,149.421,149.292,149.304,1041
1632313800,149.305,149.336,149.263,149.31,722
1632315600,149.311,149.424,149.294,149.412,497
1632317400,149.422,149.542,149.355,149.355,761
1632319200,149.354,149.426,149.307,149.424,686
1632321000,149.424,149.436,149.357,149.4,776
1632322800,149.4,149.435,149.269,149.359,939
1632324600,149.359,149.377,149.231,149.354,1105
1632326400,149.354,149.432,149.292,149.299,1209
1632328200,149.296,149.413,149.226,149.367,1430
1632330000,149.369,149.571,149.35,149.44,1439
1632331800,149.444,149.615,149.426,149.555,1417
1632333600,149.559,149.688,149.539,149.673,1172
1632335400,149.673,149.808,149.66,149.803,1240
1632337200,149.803,149.823,149.693,149.7,880
1632339000,149.701,149.738,149.628,149.638,719
1632340800,149.637,149.652,149.603,149.636,812
1632342600,149.636,149.666,149.588,149.595,769
1632344400,149.59,149.96,149.519,149.898,2652
1632346200,149.898,149.944,149.546,149.551,2969
1632348000,149.551,149.804,149.544,149.7,2520
1632349800,149.698,149.75,149.467,149.497,1642
1632351600,149.499,149.568,149.496,149.546,550
1632353400,149.546,149.567,149.525,149.526,327
1632355200,149.47,149.609,149.364,149.48,591
1632357000,149.48,149.559,149.468,149.509,1189
1632358800,149.517,149.572,149.515,149.531,407
1632360600,149.531,149.572,149.53,149.55,298
1632362400,149.55,149.565,149.523,149.565,279
1632364200,149.565,149.573,149.498,149.541,462
1632366000,149.541,149.638,149.529,149.606,606
1632367800,149.606,149.621,149.56,149.585,498
1632369600,149.589,149.61,149.56,149.609,540
1632371400,149.609,149.779,149.594,149.767,553
1632373200,149.768,149.786,149.69,149.729,511
1632375000,149.729,149.78,149.684,149.689,504
1632376800,149.688,149.767,149.688,149.759,397
1632378600,149.76,149.842,149.71,149.802,420
1632380400,149.802,149.834,149.775,149.776,328
1632382200,149.776,149.853,149.743,149.85,292
1632384000,149.85,149.85,149.774,149.791,366
1632385800,149.791,149.892,149.791,149.844,460
1632387600,149.84,149.9,149.803,149.863,1040
1632389400,149.863,150.052,149.859,150.003,1069
1632391200,149.999,150.153,149.922,150.107,1627
1632393000,150.064,150.176,150.032,150.147,1428
1632394800,150.148,150.288,150.04,150.287,1414
1632396600,150.284,150.284,150.107,150.128,1197
1632398400,150.128,150.418,150.125,150.313,1472
1632400200,150.312,150.385,150.28,150.37,1168
1632402000,150.373,150.423,149.928,150.189,1792
1632403800,150.19,150.352,150.165,150.295,1629
1632405600,150.292,150.7,150.164,150.695,1835
1632407400,150.703,150.96,150.67,150.939,1618
1632409200,150.95,150.955,150.731,150.874,1400
1632411000,150.87,151.096,150.794,151.073,1819
1632412800,151.071,151.087,150.87,150.967,1655
1632414600,150.969,151.321,150.932,151.157,1871
1632416400,151.158,151.381,151.141,151.343,1562
1632418200,151.343,151.418,151.314,151.358,1391
1632420000,151.355,151.375,151.23,151.338,1419
1632421800,151.335,151.465,151.309,151.432,1134
1632423600,151.432,151.442,151.383,151.435,899
1632425400,151.435,151.482,151.402,151.434,789
1632427200,151.436,151.449,151.359,151.368,923
1632429000,151.368,151.388,151.352,151.377,386
1632430800,151.377,151.378,151.301,151.353,620
1632432600,151.353,151.398,151.341,151.386,527
1632434400,151.387,151.402,151.36,151.395,620
1632436200,151.393,151.439,151.308,151.333,1275
1632438000,151.333,151.421,151.309,151.413,621
1632439800,151.412,151.412,151.359,151.371,533
1632441600,151.317,151.374,151.304,151.36,201
1632443400,151.366,151.366,151.279,151.321,402
1632445200,151.323,151.362,151.311,151.334,324
1632447000,151.335,151.412,151.332,151.363,342
1632448800,151.362,151.4,151.346,151.374,340
1632450600,151.372,151.432,151.359,151.38,507
1632452400,151.38,151.627,151.359,151.597,1115
1632454200,151.599,151.65,151.572,151.6,1069
1632456000,151.6,151.624,151.486,151.56,854
1632457800,151.559,151.604,151.35,151.356,886
1632459600,151.359,151.465,151.356,151.407,699
1632461400,151.408,151.466,151.373,151.46,602
1632463200,151.46,151.597,151.439,151.567,658
1632465000,151.566,151.602,151.521,151.541,532
1632466800,151.542,151.574,151.504,151.546,547
1632468600,151.546,151.559,151.505,151.547,557
1632470400,151.548,151.562,151.484,151.517,552
1632472200,151.517,151.58,151.508,151.531,574
1632474000,151.53,151.678,151.526,151.653,911
1632475800,151.652,151.736,151.627,151.7,1155
