time,open,high,low,close,volume
1632268800,0.70006,0.70556,0.69924,0.7002,34504
1632355200,0.70008,0.70931,0.69816,0.70684,32629
1632441600,0.70604,0.70803,0.6997,0.70137,31807
1632700800,0.70022,0.70332,0.69908,0.70134,31258
1632787200,0.70039,0.70269,0.69428,0.69609,42903
1632873600,0.69522,0.69635,0.68593,0.68648,41711
1632960000,0.68645,0.69216,0.686,0.68974,42019
1633046400,0.68962,0.69507,0.68768,0.69382,40299
1633305600,0.69386,0.69818,0.69264,0.69643,40005
1633392000,0.69574,0.69759,0.6928,0.69589,34047
1633478400,0.69588,0.69792,0.68765,0.69148,41258
1633564800,0.69129,0.69438,0.69079,0.69302,30821
1633651200,0.69233,0.69602,0.69085,0.69283,34708
1633910400,0.69165,0.69643,0.69143,0.69366,28783
1633996800,0.69306,0.69696,0.69236,0.6932,30929
1634083200,0.69224,0.69683,0.69115,0.6966,33500
1634169600,0.69631,0.70415,0.69589,0.70365,26943
1634256000,0.70311,0.70771,0.7025,0.70749,29697
1634515200,0.70649,0.71052,0.70493,0.70873,29430
1634601600,0.70812,0.71724,0.70754,0.71528,29749
1634688000,0.71501,0.72084,0.7146,0.72003,31408
1634774400,0.71969,0.72185,0.71407,0.71566,32696
1634860800,0.71548,0.71889,0.71316,0.71487,35786
1635120000,0.71399,0.71779,0.71301,0.71668,28557
1635206400,0.71546,0.71937,0.71505,0.71624,29562
1635292800,0.71569,0.71888,0.71318,0.71708,33031
1635379200,0.71658,0.72168,0.71516,0.72022,36180
1635465600,0.71991,0.72033,0.71359,0.7166,34298
1635724800,0.71585,0.71979,0.7147,0.71872,28997
1635811200,0.71853,0.71862,0.70928,0.71093,31713
1635897600,0.71096,0.71732,0.71004,0.71636,36666
1635984000,0.71552,0.71785,0.7095,0.71022,34301
1636070400,0.71019,0.71273,0.70725,0.71195,31942
1636329600,0.71115,0.71769,0.71035,0.71675,28207
1636416000,0.71645,0.7174,0.71096,0.71315,31380
