time,open,high,low,close,volume
1632232800,0.70356,0.70416,0.70316,0.70361,927
1632236400,0.70363,0.70412,0.70245,0.70276,2199
1632240000,0.70274,0.70298,0.70143,0.70202,2684
1632243600,0.70202,0.70211,0.69958,0.69963,3009
1632247200,0.69965,0.70165,0.69935,0.70132,2144
1632250800,0.7013,0.70153,0.7002,0.70057,1767
1632254400,0.70058,0.70086,0.70018,0.70053,1776
1632258000,0.70054,0.70107,0.70026,0.70104,2040
1632261600,0.70102,0.70162,0.70072,0.70076,1438
1632265200,0.70075,0.70091,0.70038,0.70075,598
1632268800,0.70006,0.70054,0.69999,0.70051,75
1632272400,0.70051,0.70077,0.70037,0.70041,424
1632276000,0.70041,0.70042,0.69961,0.69968,594
1632279600,0.69966,0.70063,0.69943,0.70005,1273
1632283200,0.70004,0.70313,0.69973,0.70225,2505
1632286800,0.70223,0.70228,0.70136,0.70195,981
1632290400,0.70195,0.70216,0.70083,0.70097,754
1632294000,0.70097,0.70156,0.70078,0.70131,645
1632297600,0.70131,0.70193,0.7013,0.70165,1032
1632301200,0.70166,0.70251,0.70138,0.70232,1446
1632304800,0.70232,0.70302,0.70187,0.70199,1732
1632308400,0.702,0.70284,0.7019,0.70252,1554
1632312000,0.70254,0.7027,0.70199,0.70213,1095
1632315600,0.70214,0.70268,0.70192,0.70226,1018
1632319200,0.70225,0.70268,0.70178,0.7024,1155
1632322800,0.70241,0.70276,0.70139,0.70149,1328
1632326400,0.70151,0.7019,0.70037,0.7014,1891
1632330000,0.70144,0.70243,0.70128,0.70209,1879
1632333600,0.70214,0.70314,0.70205,0.70294,1751
1632337200,0.70295,0.7032,0.70268,0.70277,1280
1632340800,0.70279,0.70279,0.7019,0.70237,1089
1632344400,0.70089,0.70556,0.69959,0.69998,5049
1632348000,0.70004,0.70288,0.69924,0.70058,3325
1632351600,0.70062,0.70065,0.7001,0.7002,629
1632355200,0.70008,0.70037,0.6996,0.69963,132
1632358800,0.69971,0.70043,0.69919,0.69994,760
1632362400,0.69993,0.69995,0.69862,0.69899,534
1632366000,0.69899,0.69936,0.6984,0.69893,684
1632369600,0.69893,0.69986,0.69875,0.69981,1025
1632373200,0.69981,0.6999,0.69816,0.69848,1177
1632376800,0.6985,0.7003,0.69848,0.70006,785
1632380400,0.70006,0.70073,0.69968,0.70071,1011
1632384000,0.70069,0.70117,0.70045,0.70096,795
1632387600,0.70094,0.70205,0.70066,0.7018,1372
1632391200,0.7018,0.70274,0.70147,0.70274,1897
1632394800,0.70274,0.70462,0.70238,0.70423,1813
1632398400,0.70423,0.70578,0.70415,0.70516,1869
1632402000,0.70517,0.70576,0.70367,0.70445,2587
1632405600,0.70445,0.70512,0.70385,0.70505,1834
1632409200,0.70505,0.70778,0.70479,0.70767,1765
1632412800,0.70763,0.70902,0.70649,0.70826,2855
1632416400,0.70829,0.70931,0.70815,0.70876,2320
1632420000,0.70875,0.70877,0.70714,0.7073,2099
1632423600,0.70731,0.70822,0.70702,0.70795,1359
1632427200,0.70795,0.70871,0.70783,0.7086,1076
1632430800,0.70858,0.70858,0.70753,0.70769,1096
1632434400,0.70766,0.708,0.70714,0.70727,1028
1632438000,0.70723,0.70734,0.70668,0.70684,756
1632441600,0.70604,0.70698,0.70559,0.70639,196
1632445200,0.70649,0.70749,0.70646,0.70703,407
1632448800,0.70702,0.70735,0.70641,0.70641,485
1632452400,0.70641,0.70803,0.70641,0.70742,1279
1632456000,0.70742,0.70766,0.70597,0.70599,1484
1632459600,0.70602,0.70682,0.70598,0.70635,1270
1632463200,0.70635,0.70724,0.70628,0.70717,753
1632466800,0.70717,0.70738,0.70668,0.70686,612
1632470400,0.70686,0.70705,0.70647,0.70659,901
1632474000,0.70662,0.70686,0.70563,0.70591,1379
1632477600,0.7059,0.70593,0.70452,0.70499,2100
1632481200,0.70499,0.70546,0.70433,0.70519,1806
1632484800,0.70519,0.70521,0.70356,0.70361,1532
1632488400,0.70361,0.70467,0.70342,0.70406,1405
1632492000,0.7041,0.70424,0.70243,0.70252,1680
1632495600,0.70252,0.70274,0.70096,0.70104,1863
1632499200,0.70104,0.7025,0.7006,0.70183,2334
1632502800,0.70185,0.70209,0.6997,0.70031,2628
1632506400,0.70033,0.70127,0.6999,0.70124,1735
1632510000,0.70124,0.7024,0.70115,0.70164,1581
1632513600,0.70164,0.70173,0.70069,0.70071,1415
1632517200,0.70071,0.70126,0.7007,0.70088,1501
1632520800,0.70092,0.70101,0.70038,0.7006,966
1632524400,0.70061,0.70154,0.70061,0.70137,495
1632700800,0.70022,0.70149,0.69975,0.70093,132
1632704400,0.70093,0.70134,0.70091,0.70108,328
1632708000,0.7011,0.70183,0.70091,0.70155,479
1632711600,0.70161,0.70255,0.70156,0.70222,1080
1632715200,0.70221,0.70332,0.70216,0.70298,1343
1632718800,0.70299,0.70321,0.70227,0.70256,1063
1632722400,0.70256,0.70259,0.70175,0.70177,746
1632726000,0.70177,0.70231,0.70159,0.70208,464
1632729600,0.70208,0.70232,0.70167,0.70203,632
1632733200,0.70203,0.70234,0.70083,0.70149,1954
1632736800,0.70149,0.7024,0.70052,0.70058,1815
1632740400,0.70057,0.70104,0.70004,0.70009,1667
1632744000,0.70009,0.701,0.7,0.70041,1245
1632747600,0.70039,0.70095,0.69983,0.70033,1393
1632751200,0.70033,0.70048,0.69908,0.69932,1726
1632754800,0.69934,0.70142,0.69927,0.70094,2620
1632758400,0.70094,0.70173,0.69984,0.7016,3121
1632762000,0.70158,0.70204,0.70092,0.70103,2467
1632765600,0.70102,0.70146,0.70076,0.701,2124
1632769200,0.701,0.70184,0.70077,0.70119,1274
1632772800,0.7012,0.70177,0.70099,0.70165,1216
1632776400,0.70165,0.70205,0.70165,0.70181,887
1632780000,0.7018,0.70211,0.70137,0.70144,1098
1632783600,0.70144,0.70167,0.70119,0.70134,384
1632787200,0.70039,0.70139,0.70024,0.70092,301
1632790800,0.70092,0.70136,0.70092,0.7011,269
1632794400,0.70108,0.70113,0.70061,0.70066,345
1632798000,0.70066,0.70105,0.70001,0.70046,1030
1632801600,0.7005,0.70128,0.69988,0.70102,1069
1632805200,0.70104,0.70173,0.70079,0.70167,974
1632808800,0.70166,0.70221,0.7015,0.70154,862
1632812400,0.70154,0.70231,0.7015,0.7023,779
1632816000,0.7023,0.70246,0.70178,0.70237,1145
1632819600,0.70238,0.70269,0.69879,0.69885,2028
1632823200,0.69892,0.69949,0.69775,0.69866,2515
1632826800,0.69866,0.69867,0.69743,0.69784,1792
1632830400,0.69786,0.69786,0.69588,0.69627,1850
1632834000,0.69629,0.69651,0.69583,0.69596,2078
1632837600,0.696,0.69727,0.69583,0.69662,2315
1632841200,0.69662,0.69662,0.69493,0.69585,2803
1632844800,0.69582,0.69722,0.69513,0.69606,3046
1632848400,0.69605,0.69709,0.69486,0.69553,4283
1632852000,0.69553,0.6963,0.69493,0.69547,3525
1632855600,0.69546,0.69614,0.6948,0.69499,2031
1632859200,0.69501,0.69586,0.69458,0.69489,2605
1632862800,0.69488,0.69589,0.69428,0.69532,2259
1632866400,0.69531,0.69589,0.69527,0.6958,2358
1632870000,0.69576,0.69616,0.6955,0.69609,641
1632873600,0.69522,0.69583,0.69517,0.69563,124
1632877200,0.69563,0.69635,0.69563,0.696,685
1632880800,0.69603,0.69612,0.69545,0.69589,542
1632884400,0.69589,0.69606,0.69433,0.69455,1370
1632888000,0.69456,0.69506,0.69371,0.69445,1872
1632891600,0.69444,0.69531,0.69415,0.69478,1708
1632895200,0.69478,0.69503,0.6946,0.6949,1014
1632898800,0.69491,0.69519,0.69468,0.695,987
1632902400,0.69496,0.6954,0.69458,0.69509,1654
1632906000,0.6951,0.69585,0.69476,0.69521,2522
1632909600,0.69528,0.69574,0.69354,0.69447,2742
1632913200,0.69444,0.69523,0.69431,0.69461,2116
1632916800,0.6946,0.69492,0.69372,0.69399,1813
1632920400,0.69399,0.69427,0.69338,0.694,1555
1632924000,0.694,0.69411,0.69226,0.69266,1687
1632927600,0.69261,0.69296,0.69089,0.69092,2171
1632931200,0.69095,0.69117,0.68916,0.68943,2963
1632934800,0.68944,0.6902,0.68693,0.68728,3516
1632938400,0.68728,0.6879,0.68669,0.68696,2337
1632942000,0.68696,0.68742,0.68602,0.68639,2255
1632945600,0.68639,0.6866,0.68608,0.68647,1932
1632949200,0.68646,0.68777,0.68612,0.6869,1694
1632952800,0.68694,0.68717,0.68593,0.6862,1526
1632956400,0.68616,0.68655,0.68603,0.68648,926
1632960000,0.68645,0.68706,0.68629,0.687,186
1632963600,0.687,0.68728,0.68653,0.68662,525
1632967200,0.68663,0.68745,0.68651,0.68712,501
1632970800,0.68712,0.68772,0.68678,0.68739,1248
1632974400,0.68739,0.6878,0.68674,0.68758,1654
1632978000,0.68758,0.68859,0.68742,0.6884,1103
1632981600,0.6884,0.68871,0.68814,0.68824,949
1632985200,0.68824,0.6883,0.68753,0.6878,701
1632988800,0.6878,0.68824,0.68718,0.6872,1196
1632992400,0.6872,0.68861,0.68715,0.68817,1704
1632996000,0.68819,0.68893,0.68683,0.68849,2215
1632999600,0.68847,0.68892,0.6869,0.68713,1572
1633003200,0.68712,0.68758,0.68665,0.68709,1427
1633006800,0.68707,0.68714,0.68601,0.68621,1733
1633010400,0.68618,0.68667,0.686,0.68659,1493
1633014000,0.68659,0.68832,0.68652,0.68794,2304
1633017600,0.68794,0.68972,0.68711,0.68932,3151
1633021200,0.68933,0.69091,0.68894,0.68982,3855
1633024800,0.68987,0.69216,0.68954,0.68995,3632
1633028400,0.68996,0.69013,0.68821,0.68873,3213
1633032000,0.68869,0.68967,0.68866,0.68914,2598
1633035600,0.68919,0.69091,0.68919,0.69072,1841
1633039200,0.69071,0.69152,0.69012,0.69015,2094
1633042800,0.69017,0.69045,0.68957,0.68974,1124
1633046400,0.68962,0.69052,0.6889,0.68955,197
1633050000,0.68955,0.69039,0.6895,0.69039,467
1633053600,0.6904,0.6904,0.68937,0.68959,428
1633057200,0.68952,0.69031,0.68923,0.68967,1630
1633060800,0.68972,0.68991,0.68881,0.68985,2005
1633064400,0.68985,0.68998,0.68946,0.68969,1136
1633068000,0.68973,0.68989,0.68916,0.68934,1147
1633071600,0.68934,0.68947,0.68862,0.68923,808
1633075200,0.68923,0.68926,0.68825,0.68862,1022
1633078800,0.68862,0.68896,0.68768,0.68886,2284
1633082400,0.68885,0.68938,0.68786,0.68812,3130
1633086000,0.68811,0.68998,0.68796,0.68992,2159
1633089600,0.68992,0.69106,0.6899,0.69048,1911
1633093200,0.69045,0.69129,0.68989,0.69072,1943
1633096800,0.69075,0.69282,0.69064,0.69269,2162
1633100400,0.69269,0.69273,0.69135,0.69232,2418
1633104000,0.69237,0.69324,0.69217,0.69301,3046
1633107600,0.69294,0.69441,0.6923,0.69321,3960
1633111200,0.69323,0.69449,0.69246,0.69399,2571
1633114800,0.694,0.6946,0.69368,0.6942,1900
1633118400,0.6942,0.69482,0.69395,0.69481,1378
1633122000,0.69481,0.69507,0.69459,0.69486,978
1633125600,0.69486,0.6949,0.69399,0.69423,1173
1633129200,0.69424,0.69466,0.6938,0.69382,446
1633305600,0.69386,0.69413,0.69304,0.6933,331
1633309200,0.6933,0.69526,0.69303,0.69442,872
1633312800,0.69442,0.69474,0.69407,0.69408,693
1633316400,0.69408,0.69483,0.69304,0.69337,1147
1633320000,0.69337,0.69388,0.69264,0.6931,1690
1633323600,0.6931,0.694,0.69274,0.69349,1429
1633327200,0.69349,0.69369,0.69332,0.69347,969
1633330800,0.69347,0.69454,0.69346,0.69438,1226
1633334400,0.69438,0.69478,0.69394,0.69408,1383
1633338000,0.69407,0.69473,0.69334,0.69397,1837
1633341600,0.69394,0.69482,0.69315,0.69476,2953
1633345200,0.69476,0.69534,0.6938,0.69502,2062
1633348800,0.69504,0.69634,0.69495,0.69597,1657
1633352400,0.69597,0.69674,0.69582,0.6966,1569
