time,open,high,low,close,volume
1632230100,0.70389,0.70419,0.70346,0.70346,270
1632231000,0.70346,0.70378,0.70338,0.70372,349
1632231900,0.70372,0.7039,0.70349,0.70356,288
1632232800,0.70356,0.70362,0.70316,0.70327,274
1632233700,0.70327,0.70366,0.70325,0.70351,175
1632234600,0.70351,0.70399,0.70327,0.70392,245
1632235500,0.70392,0.70416,0.70351,0.70361,233
1632236400,0.70363,0.70412,0.70245,0.70245,508
1632237300,0.7025,0.70379,0.7025,0.70329,681
1632238200,0.70329,0.70357,0.70266,0.70311,528
1632239100,0.70314,0.70344,0.7027,0.70276,482
1632240000,0.70274,0.70298,0.702,0.70226,585
1632240900,0.70225,0.70226,0.70159,0.70174,551
1632241800,0.70177,0.70256,0.70143,0.70199,848
1632242700,0.70201,0.70246,0.70176,0.70202,700
1632243600,0.70202,0.70211,0.7008,0.7014,834
1632244500,0.7014,0.70159,0.70031,0.70071,756
1632245400,0.70074,0.70084,0.69997,0.70013,661
1632246300,0.70013,0.70031,0.69958,0.69963,758
1632247200,0.69965,0.70078,0.69935,0.70037,664
1632248100,0.7004,0.70049,0.69993,0.70006,432
1632249000,0.70007,0.70134,0.70001,0.70124,573
1632249900,0.70124,0.70165,0.70119,0.70132,475
1632250800,0.7013,0.70153,0.70082,0.7009,424
1632251700,0.7009,0.70103,0.70071,0.70077,393
1632252600,0.70077,0.701,0.70061,0.70073,448
1632253500,0.70073,0.70075,0.7002,0.70057,502
1632254400,0.70058,0.70072,0.70027,0.70059,486
1632255300,0.70058,0.70086,0.70023,0.70035,427
1632256200,0.70035,0.70066,0.70031,0.7005,427
1632257100,0.70051,0.70075,0.70018,0.70053,436
1632258000,0.70054,0.70087,0.70044,0.70051,475
1632258900,0.70052,0.70071,0.70026,0.7003,349
1632259800,0.70029,0.70079,0.70026,0.70048,737
1632260700,0.70048,0.70107,0.7004,0.70104,479
1632261600,0.70102,0.70131,0.70094,0.70119,453
1632262500,0.7012,0.70158,0.70117,0.7015,338
1632263400,0.7015,0.70162,0.70131,0.70147,371
1632264300,0.70147,0.70147,0.70072,0.70076,276
1632265200,0.70075,0.70086,0.70038,0.70049,285
1632266100,0.7005,0.70066,0.7004,0.70066,122
1632267000,0.70065,0.70089,0.70062,0.70086,121
1632267900,0.70086,0.70091,0.70068,0.70075,70
1632268800,0.70006,0.70051,0.69999,0.70049,16
1632269700,0.70049,0.70053,0.69999,0.70051,21
1632270600,0.70051,0.70053,0.70019,0.70053,20
1632271500,0.70054,0.70054,0.70014,0.70051,18
1632272400,0.70051,0.70077,0.70051,0.70067,56
1632273300,0.70067,0.70075,0.70056,0.70056,123
1632274200,0.70062,0.7007,0.70051,0.70056,125
1632275100,0.70055,0.70069,0.70037,0.70041,120
1632276000,0.70041,0.70042,0.69999,0.70029,112
1632276900,0.7003,0.70037,0.69994,0.69995,107
1632277800,0.69996,0.70012,0.69961,0.6998,205
1632278700,0.6998,0.69981,0.69961,0.69968,170
1632279600,0.69966,0.69998,0.69943,0.69964,336
1632280500,0.69964,0.70025,0.69959,0.70007,309
1632281400,0.70007,0.70063,0.69998,0.70006,251
1632282300,0.70005,0.70039,0.69997,0.70005,377
1632283200,0.70004,0.70237,0.69973,0.70219,930
1632284100,0.70219,0.70281,0.70179,0.70281,722
1632285000,0.7028,0.70313,0.7024,0.70261,477
1632285900,0.70261,0.70296,0.70208,0.70225,376
1632286800,0.70223,0.70228,0.70158,0.70181,342
1632287700,0.70181,0.70183,0.70153,0.70158,240
1632288600,0.70158,0.70183,0.70136,0.70173,150
1632289500,0.70173,0.70198,0.70139,0.70195,249
1632290400,0.70195,0.70209,0.70174,0.702,161
1632291300,0.702,0.70216,0.70176,0.7018,179
1632292200,0.7018,0.7018,0.7011,0.70115,194
1632293100,0.70114,0.70118,0.70083,0.70097,220
1632294000,0.70097,0.70102,0.70091,0.70095,128
1632294900,0.70097,0.70099,0.70078,0.70091,156
1632295800,0.70092,0.70096,0.70079,0.70096,156
1632296700,0.70101,0.70156,0.70094,0.70131,205
1632297600,0.70131,0.70166,0.7013,0.70159,275
1632298500,0.70161,0.70192,0.70153,0.70184,241
1632299400,0.70184,0.70184,0.70158,0.7016,241
1632300300,0.7016,0.70193,0.70144,0.70165,275
1632301200,0.70166,0.70221,0.70138,0.70205,337
1632302100,0.70205,0.70237,0.70193,0.70207,409
1632303000,0.70208,0.70245,0.70199,0.70221,330
1632303900,0.70221,0.70251,0.70218,0.70232,370
1632304800,0.70232,0.70283,0.70202,0.70269,479
1632305700,0.70268,0.70302,0.70234,0.7024,454
1632306600,0.70239,0.70285,0.70221,0.70226,426
1632307500,0.70226,0.70247,0.70187,0.70199,373
1632308400,0.702,0.70249,0.70194,0.70225,352
1632309300,0.70225,0.70248,0.70205,0.70239,457
1632310200,0.70239,0.70241,0.7019,0.70208,412
1632311100,0.70208,0.70284,0.70208,0.70252,333
1632312000,0.70254,0.70266,0.70234,0.70235,227
1632312900,0.70235,0.7027,0.70228,0.70232,210
1632313800,0.70232,0.70239,0.70199,0.70213,307
1632314700,0.70214,0.70241,0.70202,0.70213,351
1632315600,0.70214,0.70226,0.70192,0.70193,332
1632316500,0.70193,0.70221,0.70193,0.70211,305
1632317400,0.70211,0.70268,0.70211,0.70246,199
1632318300,0.70246,0.70256,0.70226,0.70226,182
1632319200,0.70225,0.70225,0.70204,0.70219,242
1632320100,0.70219,0.70232,0.70178,0.70214,268
1632321000,0.70214,0.70223,0.70192,0.7022,240
1632321900,0.7022,0.70268,0.7022,0.7024,405
1632322800,0.70241,0.70276,0.70217,0.70248,350
1632323700,0.70249,0.70257,0.70154,0.70169,383
1632324600,0.7017,0.70194,0.70143,0.70178,346
1632325500,0.70179,0.70181,0.70139,0.70149,249
1632326400,0.70151,0.7019,0.70129,0.70131,317
1632327300,0.70131,0.7014,0.70045,0.70062,417
