time,open,high,low,close,volume
1631829600,7055.05,7061.3,7047.8,7048.3,705
1631831400,7048.05,7064.8,7047.8,7057.25,816
1631833200,7055.35,7055.35,7049.35,7049.35,190
1631835000,7049.85,7050.35,7047.35,7047.35,40
1631840400,7051.27,7052.77,7050.77,7052.77,34
1631842200,7053.27,7056.27,7053.27,7053.77,32
1631844000,7054.27,7054.27,7052.95,7053.45,41
1631845800,7053.95,7053.95,7040.2,7046.45,153
1631847600,7058.8,7058.8,7041.75,7045.25,283
1631849400,7045.5,7047.75,7041.0,7044.5,248
1631851200,7045.0,7049.0,7041.0,7042.0,272
1631853000,7041.75,7050.25,7033.0,7047.0,511
1631854800,7047.25,7054.0,7046.5,7049.25,307
1631856600,7048.75,7055.75,7046.5,7051.0,348
1631858400,7051.5,7058.0,7049.5,7054.25,199
1631860200,7054.5,7055.0,7049.25,7049.25,201
1631862000,7049.5,7052.5,7047.5,7049.25,132
1631863800,7049.0,7051.75,7048.25,7049.0,190
1631865600,7048.75,7057.0,7048.5,7053.75,257
1631867400,7054.0,7055.75,7048.7,7053.95,254
1631869200,7052.95,7060.4,7049.45,7059.4,364
1631871000,7059.9,7069.15,7055.65,7060.65,375
1631872800,7060.4,7082.9,7043.9,7049.4,2047
1631874600,7049.15,7049.4,7030.9,7043.15,1259
1631876400,7043.4,7046.4,7035.9,7040.4,901
1631878200,7039.65,7045.65,7032.4,7044.9,823
1631880000,7045.15,7047.4,7015.9,7034.9,1291
1631881800,7034.4,7035.15,7004.9,7014.9,1405
1631883600,7014.15,7019.4,6998.4,7004.65,1435
1631885400,7003.9,7006.9,6990.9,7002.9,1155
1631887200,7002.4,7015.9,6999.9,7008.15,1039
1631889000,7007.9,7016.65,7003.4,7010.9,928
1631890800,7010.65,7034.9,7009.15,7034.4,723
1631892600,7033.9,7038.4,7024.9,7030.65,556
1631894400,7030.9,7034.4,7019.9,7020.65,679
1631896200,7020.9,7029.65,6988.9,6994.65,2421
1631898000,6994.9,6995.65,6967.4,6976.4,2079
1631899800,6975.4,6975.4,6945.9,6951.65,2135
1631901600,6951.15,6956.15,6925.4,6927.9,1850
1631903400,6927.4,6958.4,6920.15,6952.15,1875
1631905200,6951.4,6971.9,6950.9,6967.9,992
1631907000,6968.15,6975.15,6966.15,6968.65,1071
1631908800,6968.9,6970.4,6957.4,6961.65,875
1631910600,6961.4,6962.4,6951.4,6957.15,856
1631912400,6956.4,6966.15,6956.15,6962.15,476
1631914200,6961.65,6977.15,6960.4,6973.65,707
1631916000,6973.9,6979.4,6967.4,6969.15,670
1631917800,6968.65,6976.9,6965.35,6966.85,912
1631919600,6963.95,6977.45,6955.95,6966.45,433
1631921400,6966.95,6966.95,6957.95,6964.45,156
1632099600,6954.3,6970.45,6953.8,6962.84,759
1632101400,6963.09,6975.1,6962.64,6974.3,535
1632103200,6974.45,6976.65,6968.5,6976.15,558
1632105000,6975.65,6978.91,6972.91,6972.91,709
1632106800,6973.38,6978.83,6964.63,6978.83,372
1632108600,6978.7,6979.1,6969.33,6970.1,293
1632110400,6969.83,6971.33,6959.35,6960.33,530
1632112200,6960.2,6961.1,6948.1,6948.83,518
1632114000,6948.95,6949.33,6935.33,6937.1,556
1632115800,6937.33,6938.1,6904.33,6904.83,783
1632117600,6904.95,6910.1,6895.33,6905.1,593
1632119400,6905.2,6913.1,6900.33,6909.33,469
1632121200,6909.45,6909.73,6895.33,6899.6,318
1632123000,6899.95,6914.1,6899.83,6911.83,394
1632124800,6912.1,6916.1,6904.6,6911.33,696
1632126600,6911.6,6915.83,6906.83,6908.33,631
1632128400,6908.58,6919.33,6872.98,6884.48,1621
1632130200,6884.75,6888.98,6863.48,6873.5,1412
1632132000,6872.25,6896.75,6861.75,6863.75,2678
1632133800,6865.25,6877.0,6845.75,6851.25,1793
1632135600,6852.0,6863.75,6840.5,6849.0,1751
1632137400,6848.75,6865.75,6842.75,6848.75,1630
1632139200,6848.5,6848.75,6832.25,6838.75,1462
1632141000,6838.0,6844.5,6829.0,6837.5,1329
1632142800,6837.75,6842.5,6827.5,6840.25,1177
1632144600,6840.5,6846.25,6828.75,6834.5,930
1632146400,6835.0,6840.5,6832.0,6835.5,820
1632148200,6835.25,6841.5,6819.5,6830.0,1250
1632150000,6829.75,6835.0,6814.5,6821.0,1230
1632151800,6819.5,6838.5,6814.0,6835.0,1490
1632153600,6835.25,6855.75,6824.25,6853.5,1331
1632155400,6853.25,6889.5,6846.5,6884.5,3354
1632157200,6883.0,6887.0,6869.5,6881.5,3057
1632159000,6881.75,6896.0,6875.25,6883.5,2740
1632160800,6882.75,6900.5,6878.5,6894.5,2240
1632162600,6895.5,6897.5,6873.25,6874.5,1640
1632164400,6874.0,6876.5,6853.5,6861.0,1501
1632166200,6860.5,6861.75,6848.5,6850.5,1582
1632168000,6850.25,6854.75,6838.0,6851.75,1450
1632169800,6851.0,6858.5,6847.0,6855.25,983
1632171600,6855.75,6859.75,6835.5,6837.0,833
1632173400,6837.25,6843.75,6832.25,6837.75,1850
1632175200,6837.0,6853.5,6830.25,6853.25,1476
1632177000,6853.0,6888.95,6852.0,6888.95,1045
1632178800,6886.05,6889.55,6865.55,6880.55,625
1632180600,6881.05,6883.55,6875.05,6875.55,130
1632186000,6884.08,6890.55,6883.08,6888.55,134
1632187800,6889.05,6890.55,6883.55,6886.05,127
1632189600,6885.55,6888.55,6880.05,6883.05,165
1632191400,6883.55,6905.86,6879.55,6905.36,339
1632193200,6900.95,6924.05,6900.95,6920.05,309
1632195000,6920.3,6928.8,6912.3,6914.8,436
1632196800,6915.3,6919.8,6906.05,6913.55,508
1632198600,6913.05,6925.8,6906.8,6924.55,651
1632200400,6924.8,6932.55,6921.8,6930.55,402
1632202200,6932.05,6937.05,6923.8,6936.05,334
1632204000,6935.8,6935.8,6922.8,6925.55,271
1632205800,6925.3,6938.3,6925.05,6936.05,315
1632207600,6935.8,6941.05,6933.8,6940.3,190
1632209400,6940.05,6940.55,6933.8,6939.05,232
1632211200,6938.55,6940.55,6926.55,6935.8,371
1632213000,6934.8,6939.05,6921.05,6923.55,559
1632214800,6923.05,6947.75,6919.75,6947.75,1037
1632216600,6947.0,6953.5,6928.5,6928.5,644
1632218400,6928.75,6959.5,6923.75,6950.25,2329
1632220200,6950.0,6966.5,6947.0,6965.75,944
1632222000,6965.5,6970.25,6952.5,6958.75,930
1632223800,6959.0,6971.5,6954.0,6955.5,844
1632225600,6955.75,6964.0,6952.0,6959.0,815
1632227400,6958.75,6975.75,6958.75,6970.0,611
1632229200,6970.5,6981.0,6970.25,6976.25,522
1632231000,6976.0,6979.0,6970.0,6974.0,488
1632232800,6974.25,6976.0,6968.0,6968.5,527
1632234600,6968.75,6977.5,6966.0,6976.25,427
1632236400,6976.0,6982.0,6961.5,6968.25,1076
1632238200,6968.5,6980.25,6967.5,6968.75,860
1632240000,6968.5,6978.5,6966.0,6976.5,837
1632241800,6977.0,6995.5,6970.0,6982.0,2649
1632243600,6982.75,6985.5,6959.0,6968.75,2403
1632245400,6969.0,6978.5,6950.75,6954.75,2107
1632247200,6955.0,6966.5,6949.75,6961.0,1551
1632249000,6961.75,6981.0,6960.0,6977.75,1363
1632250800,6978.0,6988.0,6977.5,6982.0,999
1632252600,6982.25,6986.25,6973.0,6979.0,1032
1632254400,6979.25,6981.0,6967.75,6969.0,1143
1632256200,6968.5,6973.0,6962.75,6966.25,937
1632258000,6965.75,6970.25,6956.5,6957.75,662
1632259800,6958.0,6974.25,6957.25,6964.75,795
1632261600,6965.0,6978.5,6965.0,6973.25,849
1632263400,6972.75,6975.0,6950.75,6951.95,988
1632265200,6949.05,6952.55,6934.05,6941.05,641
1632267000,6941.55,6948.05,6940.05,6945.05,177
1632272400,6943.05,6945.55,6937.05,6939.55,171
1632274200,6940.55,6943.55,6937.55,6938.05,145
1632276000,6938.55,6942.55,6935.05,6939.55,229
1632277800,6940.05,6942.55,6933.05,6934.05,268
1632279600,6933.45,6936.05,6919.8,6934.55,452
1632281400,6934.8,6939.3,6927.8,6929.8,519
1632283200,6929.55,6974.8,6923.55,6974.3,1403
1632285000,6974.55,6980.8,6969.05,6971.05,777
1632286800,6971.3,6972.8,6954.55,6970.8,559
1632288600,6970.55,6979.55,6965.05,6977.05,432
1632290400,6976.8,6982.05,6973.55,6980.55,430
1632292200,6980.3,6980.3,6969.3,6971.8,316
1632294000,6972.3,6973.55,6970.05,6972.55,209
