time,open,high,low,close,volume
1632240000,4383.05,4397.3,4349.3,4372.55,14145
1632254400,4372.05,4379.05,4342.05,4349.3,10006
1632268800,4350.05,4352.05,4334.05,4339.8,2655
1632283200,4339.55,4373.55,4336.05,4364.3,6470
1632297600,4364.05,4385.55,4363.8,4379.05,6337
1632312000,4379.3,4383.93,4373.18,4381.55,2707
1632326400,4381.8,4414.55,4369.55,4403.55,7398
1632340800,4403.3,4418.8,4384.8,4397.3,12019
1632355200,4400.45,4408.95,4398.7,4407.7,1276
1632369600,4407.95,4412.45,4404.2,4407.95,2847
1632384000,4408.2,4428.95,4407.2,4428.45,3762
1632398400,4428.2,4436.95,4414.7,4418.45,6551
1632412800,4417.95,4459.95,4408.2,4455.95,8199
1632427200,4456.2,4467.45,4447.95,4449.7,3682
1632441600,4452.1,4463.85,4451.85,4457.85,1640
1632456000,4458.35,4460.1,4446.6,4451.35,3009
1632470400,4451.1,4453.1,4428.35,4439.6,5506
1632484800,4439.85,4439.85,4423.35,4426.1,4995
1632499200,4425.85,4457.35,4423.85,4452.85,8505
1632513600,4453.1,4465.35,4446.35,4457.85,3136
1632700800,4461.85,4475.1,4460.35,4473.6,1759
1632715200,4473.85,4479.85,4473.1,4474.35,1378
1632729600,4474.1,4484.35,4468.1,4470.35,3205
1632744000,4470.1,4473.85,4440.1,4447.85,5473
1632758400,4448.1,4458.85,4437.85,4441.85,9015
1632772800,4441.35,4455.6,4439.85,4443.1,4169
1632787200,4443.15,4445.4,4433.65,4436.9,1464
1632801600,4437.15,4449.4,4433.65,4446.9,2081
1632816000,4447.15,4454.15,4408.4,4417.65,6242
1632830400,4417.9,4420.65,4400.4,4407.65,6284
1632844800,4407.4,4421.9,4348.9,4350.9,16586
1632859200,4350.65,4384.4,4347.15,4361.65,12184
1632873600,4360.85,4378.1,4357.35,4374.35,2580
1632888000,4374.1,4383.35,4359.35,4382.6,5243
1632902400,4382.85,4390.6,4372.6,4386.35,8416
1632916800,4386.1,4389.85,4367.85,4372.85,4435
1632931200,4373.1,4388.1,4357.85,4367.6,12806
1632945600,4367.85,4387.35,4356.35,4369.85,7839
1632960000,4369.55,4379.55,4366.8,4377.68,1734
1632974400,4377.55,4386.8,4373.3,4386.3,2610
1632988800,4386.05,4399.8,4385.55,4392.3,5659
1633003200,4392.3,4393.8,4373.05,4375.55,4993
1633017600,4375.55,4384.8,4316.3,4324.8,16041
1633032000,4325.3,4355.3,4306.3,4308.3,12018
1633046400,4314.55,4322.55,4309.8,4309.8,2658
1633060800,4309.8,4311.8,4280.8,4286.55,7047
1633075200,4286.55,4296.3,4271.8,4283.55,10351
1633089600,4283.55,4331.8,4283.55,4320.8,7028
1633104000,4320.8,4337.55,4289.05,4330.8,16757
1633118400,4331.3,4377.3,4326.55,4360.55,7284
1633305600,4359.1,4373.35,4352.1,4355.35,3242
1633320000,4355.1,4358.1,4338.1,4353.6,6326
1633334400,4353.35,4359.85,4326.85,4342.1,10390
1633348800,4342.1,4353.1,4334.1,4349.85,6551
1633363200,4350.1,4355.6,4279.1,4287.9,17199
1633377600,4287.65,4307.85,4280.4,4306.6,12574
1633392000,4305.2,4310.95,4287.9,4289.4,3222
1633406400,4289.4,4309.2,4282.5,4306.2,6991
1633420800,4306.2,4315.65,4295.6,4315.65,8402
1633435200,4315.65,4326.4,4314.65,4323.55,3682
1633449600,4323.55,4368.9,4310.7,4362.4,10960
1633464000,4362.65,4371.9,4343.65,4343.9,5855
1633478400,4350.4,4351.65,4339.4,4346.9,2364
1633492800,4346.9,4348.15,4319.4,4326.4,7565
1633507200,4326.4,4332.9,4298.4,4299.4,9872
1633521600,4299.4,4313.15,4286.15,4305.2,7625
1633536000,4305.2,4331.75,4292.0,4316.75,17339
1633550400,4317.0,4369.75,4308.5,4367.0,10006
1633564800,4369.25,4384.25,4368.25,4379.75,3170
1633579200,4380.0,4394.0,4377.5,4384.25,3913
1633593600,4384.0,4396.25,4381.0,4391.75,6787
1633608000,4391.75,4410.0,4388.75,4405.75,3194
1633622400,4405.75,4432.75,4397.0,4427.75,7499
1633636800,4427.75,4428.25,4398.0,4400.5,5003
1633651200,4404.65,4412.4,4398.95,4409.65,3253
1633665600,4409.65,4414.4,4402.5,4403.0,4655
1633680000,4403.0,4412.65,4393.65,4394.9,6293
1633694400,4395.15,4419.3,4393.45,4412.3,5219
1633708800,4412.3,4417.05,4394.05,4398.05,11720
1633723200,4398.18,4409.05,4388.05,4393.3,5344
1633910400,4396.65,4397.4,4364.15,4379.65,4541
1633924800,4379.65,4390.4,4378.15,4387.9,4804
1633939200,4388.4,4394.65,4374.15,4381.4,7798
1633953600,4381.4,4386.65,4369.65,4384.65,5193
1633968000,4384.65,4418.9,4383.65,4396.65,8046
1633982400,4396.9,4396.9,4355.8,4357.8,7439
1633996800,4359.8,4361.3,4340.05,4343.55,3581
1634011200,4343.55,4348.55,4333.3,4344.3,5948
1634025600,4344.3,4360.05,4329.05,4358.55,8297
1634040000,4358.8,4376.55,4358.05,4368.55,4772
1634054400,4368.8,4376.55,4350.8,4357.8,14479
1634068800,4357.8,4371.5,4338.05,4341.3,7024
1634083200,4341.85,4350.1,4338.35,4348.6,2551
1634097600,4348.6,4350.35,4340.35,4350.1,3686
1634112000,4350.35,4365.1,4334.85,4361.35,5924
1634126400,4361.1,4366.1,4344.85,4350.35,4581
1634140800,4350.35,4367.85,4330.6,4351.85,12013
1634155200,4351.85,4376.1,4350.6,4366.1,7840
1634169600,4367.4,4382.65,4366.65,4380.15,2052
1634184000,4380.15,4383.15,4376.4,4380.65,2385
1634198400,4380.65,4396.9,4378.65,4394.65,4655
1634212800,4394.65,4410.15,4392.65,4405.9,2736
1634227200,4405.9,4437.0,4401.4,4436.75,6303
1634241600,4436.75,4448.85,4431.5,4446.6,3248
1634256000,4445.35,4449.6,4439.6,4444.35,2306
1634270400,4444.6,4459.1,4437.85,4457.6,3620
1634284800,4457.6,4460.1,4447.85,4453.35,4181
1634299200,4453.35,4465.1,4449.85,4460.6,2615
1634313600,4460.6,4473.1,4456.6,4468.8,6552
1634328000,4468.55,4478.55,4465.55,4475.55,3100
1634515200,4479.9,4480.15,4462.15,4471.15,2792
1634529600,4471.15,4473.65,4467.15,4467.4,3289
1634544000,4467.4,4469.4,4452.9,4459.9,5241
1634558400,4459.9,4466.15,4447.65,4451.15,3860
1634572800,4451.15,4486.2,4448.15,4481.95,5953
1634587200,4481.95,4491.45,4480.7,4486.7,2721
1634601600,4487.2,4495.45,4483.7,4488.45,1726
1634616000,4488.45,4492.7,4483.95,4489.2,2796
1634630400,4489.2,4503.7,4488.2,4501.95,3988
1634644800,4501.83,4515.95,4499.7,4504.95,2120
