time,open,high,low,close,volume
1632240000,0.92354,0.92488,0.92252,0.92339,6422
1632254400,0.92339,0.9244,0.92307,0.92353,2362
1632268800,0.92315,0.92431,0.92279,0.92422,1092
1632283200,0.92422,0.92488,0.92375,0.92472,2344
1632297600,0.92472,0.92504,0.92223,0.92231,3804
1632312000,0.9223,0.92285,0.9217,0.92236,4045
1632326400,0.92237,0.92331,0.92161,0.92304,4986
1632340800,0.92304,0.9273,0.92156,0.92635,9410
1632355200,0.92492,0.92736,0.92464,0.92686,1097
1632369600,0.92686,0.92734,0.92602,0.9261,2086
1632384000,0.9261,0.92626,0.9229,0.92381,4979
1632398400,0.92381,0.92553,0.92292,0.92356,6095
1632412800,0.92356,0.92484,0.92174,0.92346,6245
1632427200,0.92345,0.92524,0.92274,0.92444,2210
1632441600,0.92411,0.92506,0.92386,0.92418,1546
1632456000,0.92418,0.92516,0.92418,0.92506,1377
1632470400,0.92506,0.92607,0.92382,0.92405,4144
1632484800,0.92402,0.92523,0.92224,0.92516,4131
1632499200,0.92516,0.92576,0.92403,0.92486,5600
1632513600,0.92487,0.92531,0.92418,0.9244,2012
1632700800,0.92409,0.92515,0.92347,0.92512,1605
1632715200,0.92512,0.92562,0.92463,0.92554,1724
1632729600,0.92554,0.92905,0.92553,0.92834,5472
1632744000,0.92834,0.92861,0.926,0.92681,6568
1632758400,0.9268,0.92833,0.92489,0.92579,6832
1632772800,0.92579,0.92615,0.92511,0.92575,2736
1632787200,0.9258,0.92661,0.92532,0.92645,942
1632801600,0.92644,0.92698,0.92598,0.92628,1564
1632816000,0.9263,0.92949,0.92601,0.92784,5621
1632830400,0.92784,0.92944,0.92677,0.92846,7550
1632844800,0.92854,0.93017,0.92659,0.92889,9212
1632859200,0.92889,0.93008,0.92889,0.92931,3376
1632873600,0.92928,0.92986,0.92795,0.92977,1507
1632888000,0.92977,0.9299,0.92806,0.92931,2248
1632902400,0.92932,0.9307,0.9285,0.92946,6824
1632916800,0.92946,0.9303,0.928,0.93017,7641
1632931200,0.93016,0.93499,0.92965,0.93497,7908
1632945600,0.93498,0.93553,0.93431,0.93467,3592
1632960000,0.93388,0.9348,0.93352,0.93385,1119
1632974400,0.93385,0.9342,0.93305,0.93334,1851
1632988800,0.93334,0.93504,0.93284,0.93442,5342
1633003200,0.93441,0.93683,0.93363,0.93369,6389
1633017600,0.93368,0.93563,0.93212,0.93408,9896
1633032000,0.93411,0.93438,0.93152,0.93173,4005
1633046400,0.93164,0.93331,0.93068,0.93309,1531
1633060800,0.93309,0.93329,0.93133,0.93153,2160
1633075200,0.93153,0.93231,0.93001,0.93191,5543
1633089600,0.93191,0.93373,0.92835,0.92842,6968
1633104000,0.92841,0.93089,0.92814,0.92979,8954
1633118400,0.9298,0.931,0.92949,0.93049,2468
1633305600,0.9294,0.93026,0.92873,0.93005,1744
1633320000,0.93005,0.93108,0.92991,0.93087,1634
1633334400,0.93083,0.93104,0.92893,0.92903,4970
1633348800,0.92902,0.92918,0.92422,0.92498,4958
1633363200,0.92499,0.92538,0.92305,0.92455,6676
1633377600,0.92455,0.92508,0.92413,0.92454,2726
1633392000,0.92452,0.92556,0.92401,0.92545,1245
1633406400,0.92545,0.92666,0.92534,0.92663,1998
1633420800,0.92663,0.92704,0.92589,0.92649,5769
1633435200,0.92649,0.92751,0.92608,0.92751,4327
1633449600,0.92752,0.92882,0.92617,0.92767,6667
1633464000,0.92768,0.92838,0.92735,0.92827,2215
1633478400,0.92794,0.92913,0.92757,0.92887,1143
1633492800,0.92887,0.92974,0.92855,0.92964,2246
1633507200,0.92964,0.9307,0.92908,0.93012,5906
1633521600,0.93012,0.93076,0.92833,0.92865,7425
1633536000,0.92861,0.92924,0.92719,0.92824,7481
1633550400,0.92824,0.92843,0.92715,0.92735,3341
1633564800,0.92724,0.92794,0.92679,0.92791,1551
1633579200,0.92792,0.92841,0.9274,0.92749,1430
1633593600,0.92749,0.92836,0.92632,0.92709,4208
1633608000,0.92711,0.92756,0.92528,0.92728,5319
1633622400,0.92727,0.92851,0.92595,0.92841,6588
1633636800,0.92841,0.92923,0.92759,0.92891,3673
1633651200,0.92764,0.92938,0.92726,0.92893,1178
1633665600,0.92893,0.92996,0.92882,0.9299,1938
1633680000,0.92989,0.93056,0.92941,0.93028,3803
1633694400,0.93029,0.93043,0.92591,0.92659,5941
1633708800,0.92656,0.9291,0.9261,0.92749,7771
1633723200,0.9275,0.92781,0.92628,0.92712,2515
1633910400,0.9269,0.92794,0.92617,0.92747,1271
1633924800,0.92747,0.92879,0.92725,0.9282,1967
1633939200,0.92821,0.92844,0.92595,0.9265,4783
1633953600,0.9265,0.92822,0.92611,0.92721,4569
1633968000,0.92721,0.92744,0.92503,0.92739,4337
1633982400,0.92739,0.92799,0.92709,0.92773,2131
1633996800,0.92763,0.92796,0.9273,0.92774,866
1634011200,0.92774,0.92791,0.92733,0.92788,1087
1634025600,0.92786,0.92793,0.9257,0.92781,3790
1634040000,0.92779,0.93089,0.92689,0.93026,5260
1634054400,0.93025,0.93123,0.92889,0.93121,6608
1634068800,0.93121,0.93132,0.93025,0.93066,2913
1634083200,0.92991,0.93084,0.92908,0.92995,1571
1634097600,0.92995,0.93003,0.92881,0.92931,1504
1634112000,0.92931,0.92985,0.92817,0.92852,3951
1634126400,0.92857,0.92987,0.927,0.92911,5840
1634140800,0.92911,0.92968,0.92519,0.92524,7884
1634155200,0.92524,0.92525,0.92353,0.92408,3998
1634169600,0.92379,0.9242,0.92336,0.92341,1092
1634184000,0.92341,0.9244,0.92324,0.92336,1641
1634198400,0.92336,0.9235,0.91988,0.92032,4231
1634212800,0.92032,0.92196,0.91945,0.92101,5601
1634227200,0.92101,0.92403,0.92096,0.92371,6042
1634241600,0.92374,0.9241,0.92295,0.92356,2339
1634256000,0.92327,0.92458,0.92239,0.92435,1418
1634270400,0.92435,0.92435,0.92283,0.9229,1738
1634284800,0.9229,0.92388,0.92249,0.92316,5069
1634299200,0.92318,0.92641,0.92287,0.92608,5990
1634313600,0.92605,0.92607,0.92247,0.92402,7082
1634328000,0.92402,0.92418,0.92218,0.9231,2195
1634515200,0.92314,0.92443,0.92257,0.92434,2136
1634529600,0.92434,0.92519,0.92362,0.92508,1805
1634544000,0.92509,0.92643,0.92466,0.92636,4661
1634558400,0.92638,0.92732,0.92269,0.92396,5980
1634572800,0.924,0.92471,0.92233,0.92243,5873
1634587200,0.92244,0.9238,0.9224,0.92375,2052
1634601600,0.92383,0.92391,0.9227,0.92273,1304
1634616000,0.92273,0.9228,0.92061,0.9212,1982
1634630400,0.92119,0.92127,0.91895,0.91935,5670
1634644800,0.91935,0.92004,0.91849,0.91993,6256
1634659200,0.91993,0.92321,0.91907,0.92277,6530
1634673600,0.92277,0.92327,0.92217,0.923,2477
1634688000,0.92287,0.92418,0.92175,0.92412,1315
1634702400,0.92412,0.92437,0.92328,0.92371,2258
1634716800,0.92371,0.92523,0.92344,0.92472,5194
1634731200,0.92471,0.92481,0.92166,0.92202,4958
1634745600,0.92202,0.9221,0.91888,0.91897,6605
1634760000,0.91897,0.91949,0.91862,0.91889,3250
1634774400,0.9187,0.91908,0.91856,0.91889,1126
1634788800,0.91889,0.91949,0.9185,0.91894,2244
1634803200,0.91894,0.92062,0.91856,0.91957,5170
1634817600,0.91961,0.91964,0.91738,0.91786,5216
1634832000,0.91785,0.9188,0.91705,0.91805,7265
1634846400,0.9181,0.91897,0.91787,0.91831,2739
1634860800,0.91818,0.91857,0.91781,0.91831,1086
1634875200,0.91831,0.91845,0.91755,0.91791,1742
1634889600,0.91791,0.91823,0.91651,0.9171,4443
1634904000,0.91709,0.91775,0.91624,0.91633,5475
1634918400,0.91633,0.91751,0.9151,0.91663,8278
1634932800,0.91663,0.91748,0.91588,0.91604,2846
1635120000,0.91618,0.91694,0.91511,0.91614,1571
1635134400,0.91614,0.91715,0.915,0.91515,2154
1635148800,0.91515,0.91799,0.91515,0.91744,4906
1635163200,0.91744,0.92025,0.91715,0.9199,6089
1635177600,0.9199,0.91999,0.91772,0.91989,6580
1635192000,0.9199,0.91995,0.919,0.91989,1970
1635206400,0.91985,0.92072,0.91804,0.92063,1189
1635220800,0.92062,0.9209,0.92045,0.92068,1402
1635235200,0.92067,0.92263,0.92008,0.92138,4464
1635249600,0.92139,0.92157,0.9187,0.91954,5588
1635264000,0.91954,0.92096,0.91898,0.92045,6328
1635278400,0.92045,0.92053,0.9195,0.91974,2163
1635292800,0.91977,0.92003,0.91916,0.91984,1292
1635307200,0.91982,0.91994,0.919,0.91913,1272
1635321600,0.91912,0.91995,0.9172,0.91816,4414
1635336000,0.91816,0.92038,0.91731,0.91772,6515
1635350400,0.91773,0.91871,0.91645,0.91777,8343
1635364800,0.91778,0.91832,0.91674,0.91808,3294
1635379200,0.9181,0.919,0.91674,0.91866,1394
1635393600,0.91866,0.91899,0.91736,0.9184,1876
1635408000,0.9184,0.91939,0.91663,0.91857,5970
1635422400,0.91858,0.91945,0.91667,0.91684,7978
1635436800,0.91681,0.91704,0.91159,0.91227,10505
1635451200,0.91227,0.91286,0.91153,0.91188,3450
1635465600,0.91149,0.91194,0.91116,0.91125,1795
1635480000,0.91125,0.91226,0.91082,0.91225,2005
1635494400,0.91224,0.91248,0.91025,0.91177,4855
1635508800,0.91168,0.91293,0.91058,0.91188,6539
1635523200,0.91188,0.91758,0.91134,0.9168,10508
1635537600,0.9168,0.91681,0.91501,0.91512,3406
1635724800,0.91572,0.91654,0.91402,0.91621,1509
1635739200,0.91621,0.91716,0.91576,0.91679,2044
1635753600,0.91679,0.91714,0.91502,0.91619,4603
1635768000,0.91619,0.91622,0.91256,0.91269,5477
1635782400,0.91268,0.91315,0.91049,0.91102,6580
1635796800,0.91103,0.91103,0.90883,0.90919,2967
1635811200,0.90905,0.9104,0.90852,0.91019,1980
1635825600,0.91019,0.9109,0.90908,0.90928,2143
1635840000,0.90929,0.91176,0.90906,0.91167,3900
1635854400,0.91167,0.91373,0.91125,0.9129,5481
1635868800,0.91291,0.91502,0.9127,0.91467,7018
1635883200,0.91467,0.91477,0.91383,0.91461,2568
1635897600,0.9141,0.9151,0.91378,0.91454,944
1635912000,0.91454,0.91482,0.91356,0.91379,1284
1635926400,0.91379,0.91455,0.91223,0.91261,2920
1635940800,0.91259,0.91283,0.91057,0.91194,5112
1635955200,0.91194,0.91383,0.91189,0.91314,7160
1635969600,0.91314,0.91409,0.91048,0.91172,9103
1635984000,0.9118,0.91194,0.91114,0.91175,1950
1635998400,0.91175,0.9125,0.91159,0.9122,1539
1636012800,0.9122,0.91435,0.91211,0.9128,4651
1636027200,0.91279,0.91401,0.91229,0.91281,6497
1636041600,0.91278,0.91449,0.91192,0.91322,8929
1636056000,0.91322,0.91322,0.9121,0.91248,3330
1636070400,0.91249,0.91312,0.91247,0.91264,1255
1636084800,0.91263,0.91353,0.91205,0.91249,2371
1636099200,0.91249,0.91388,0.91222,0.91352,3174
1636113600,0.91353,0.91749,0.91346,0.91698,6316
1636128000,0.91698,0.91717,0.91164,0.91186,9397
1636142400,0.91186,0.91276,0.91124,0.91212,3218
1636329600,0.9127,0.91347,0.91174,0.91344,1726
1636344000,0.91344,0.91385,0.913,0.91343,1282
1636358400,0.91343,0.91501,0.91287,0.91483,4913
1636372800,0.91483,0.91568,0.91409,0.9154,4707
1636387200,0.91541,0.91576,0.91291,0.91365,5776
1636401600,0.91364,0.91382,0.91295,0.91354,1879
1636416000,0.91304,0.91399,0.91288,0.91359,1576
1636430400,0.91359,0.91363,0.91168,0.91207,2410
1636444800,0.91206,0.91389,0.91168,0.91284,5296
1636459200,0.91284,0.91538,0.91244,0.91313,5916
1636473600,0.91313,0.91458,0.91098,0.91112,8067
1636488000,0.91112,0.91164,0.91018,0.91106,2706
1636502400,0.91121,0.91189,0.91045,0.91145,1847
1636516800,0.91145,0.91296,0.91133,0.91289,1903
1636531200,0.91289,0.9138,0.91163,0.91233,5259
1636545600,0.91235,0.91499,0.91172,0.91289,7204
1636560000,0.91294,0.91748,0.91187,0.9168,10583
1636574400,0.9168,0.91862,0.91653,0.91823,5839
1636588800,0.9179,0.91878,0.91714,0.91846,1873
1636603200,0.91847,0.91901,0.91813,0.91878,2172
1636617600,0.91878,0.92122,0.91789,0.92092,4922
1636632000,0.92092,0.92245,0.91977,0.92192,6050
1636646400,0.92188,0.92231,0.92001,0.92104,5428
1636660800,0.92109,0.922,0.92094,0.92096,2358
1636675200,0.92052,0.92276,0.92051,0.92269,2241
1636689600,0.92269,0.92297,0.922,0.922,1663
1636704000,0.922,0.92242,0.92092,0.9222,4400
1636718400,0.9222,0.92352,0.92217,0.92278,5144
1636732800,0.92278,0.92379,0.92022,0.9208,7545
1636747200,0.92081,0.92134,0.92042,0.92117,2504
1636934400,0.921,0.92136,0.91902,0.91905,1455
1636948800,0.91905,0.91998,0.91872,0.91955,2104
1636963200,0.91955,0.92136,0.91937,0.92024,4755
1636977600,0.92023,0.92104,0.91965,0.92028,5099
1636992000,0.92028,0.92418,0.91991,0.92351,7674
1637006400,0.92352,0.92572,0.92326,0.92501,3648
1637020800,0.92506,0.92579,0.92432,0.92467,2074
1637035200,0.92466,0.92482,0.92371,0.92474,1928
1637049600,0.92473,0.92779,0.92458,0.92724,4750
1637064000,0.92722,0.92874,0.92583,0.92708,6251
1637078400,0.92709,0.93092,0.92682,0.93077,8321
1637092800,0.93073,0.93118,0.92967,0.93027,4137
1637107200,0.93024,0.93077,0.92959,0.93021,2660
1637121600,0.93021,0.93296,0.93021,0.93221,3233
1637136000,0.9322,0.93224,0.9303,0.93163,5770
1637150400,0.93156,0.93201,0.92984,0.93188,5426
1637164800,0.93187,0.93201,0.92762,0.92835,7423
1637179200,0.92836,0.92895,0.92761,0.92805,4040
1637193600,0.92792,0.92879,0.92748,0.9282,2406
1637208000,0.92818,0.92873,0.92699,0.92862,3032
1637222400,0.9286,0.92919,0.92678,0.92717,5256
1637236800,0.92717,0.92776,0.92567,0.92739,6793
1637251200,0.92739,0.92799,0.92508,0.92556,7911
1637265600,0.92556,0.92581,0.92525,0.92554,2710
1637280000,0.92574,0.92682,0.9251,0.9268,1994
1637294400,0.92679,0.92702,0.92601,0.92638,1610
1637308800,0.92639,0.92861,0.92501,0.92573,6328
1637323200,0.92573,0.92904,0.92536,0.92675,9463
1637337600,0.92672,0.9286,0.92567,0.92825,8965
1637352000,0.92825,0.92899,0.92802,0.92886,3873
1637539200,0.92767,0.93017,0.92738,0.92981,3718
1637553600,0.92981,0.92997,0.92873,0.9291,2281
1637568000,0.92909,0.93041,0.92749,0.92821,5542
1637582400,0.92823,0.92899,0.92669,0.92712,5876
1637596800,0.92714,0.93199,0.92712,0.9319,8564
1637611200,0.9319,0.93347,0.9315,0.93308,2990
1637625600,0.93006,0.93293,0.93006,0.93232,2371
1637640000,0.93232,0.93353,0.93221,0.93299,1622
1637654400,0.93297,0.93299,0.93013,0.93204,8301
1637668800,0.93204,0.93367,0.93033,0.9333,7720
1637683200,0.93331,0.93443,0.93179,0.93301,8153
1637697600,0.93302,0.93375,0.93298,0.93331,3722
1637712000,0.93171,0.93448,0.93171,0.93397,1593
1637726400,0.93397,0.93451,0.93332,0.93358,1838
1637740800,0.93359,0.9359,0.93284,0.93563,6040
1637755200,0.9356,0.93687,0.93502,0.93545,7422
1637769600,0.93543,0.93736,0.93481,0.93517,9323
1637784000,0.93518,0.93522,0.93339,0.93405,3153
1637798400,0.93384,0.93426,0.93282,0.934,1773
1637812800,0.934,0.93401,0.93354,0.93373,1421
1637827200,0.93373,0.93379,0.93243,0.93359,3794
1637841600,0.93361,0.93452,0.93304,0.93374,4164
1637856000,0.93376,0.93615,0.93366,0.9357,3180
1637870400,0.9357,0.93598,0.93568,0.93575,4310
1637884800,0.93578,0.93596,0.93336,0.93398,2844
1637899200,0.93398,0.93447,0.9316,0.9319,3074
1637913600,0.9319,0.93224,0.92634,0.92647,10858
1637928000,0.92647,0.92738,0.92467,0.92548,9926
1637942400,0.92552,0.92667,0.92192,0.9226,10436
1637956800,0.92263,0.92344,0.92135,0.92268,3556
1638144000,0.92257,0.92588,0.92098,0.92582,3696
1638158400,0.92583,0.92634,0.92508,0.92523,3103
1638172800,0.92525,0.92729,0.92387,0.92478,8306
1638187200,0.92478,0.9263,0.9234,0.92613,7009
1638201600,0.92614,0.92639,0.92437,0.92457,7759
1638216000,0.92457,0.92476,0.92279,0.92279,3610
1638230400,0.92269,0.92354,0.92265,0.92277,1715
1638244800,0.92276,0.92284,0.92093,0.92113,3383
1638259200,0.92111,0.92201,0.918,0.91815,8421
1638273600,0.91811,0.91965,0.91681,0.91776,7275
1638288000,0.91778,0.92667,0.91573,0.92032,13359
1638302400,0.92024,0.92048,0.91796,0.9183,4565
1638316800,0.91831,0.92131,0.91813,0.9213,2847
1638331200,0.9213,0.92179,0.92013,0.92023,2407
1638345600,0.9202,0.92127,0.91732,0.91939,7986
1638360000,0.91939,0.92178,0.9183,0.91924,6330
1638374400,0.91924,0.92067,0.91692,0.91917,8847
1638388800,0.9192,0.92097,0.91866,0.92049,4748
1638403200,0.91902,0.92081,0.91867,0.91967,2837
1638417600,0.91967,0.92133,0.91882,0.9212,2057
1638432000,0.92119,0.92216,0.92029,0.92054,6434
1638446400,0.92052,0.92058,0.91781,0.9189,6638
1638460800,0.91886,0.92122,0.91788,0.92068,9020
1638475200,0.92068,0.92106,0.9199,0.92036,2943
1638489600,0.92,0.92062,0.91898,0.92001,1742
1638504000,0.92002,0.92083,0.91997,0.92056,1632
1638518400,0.92058,0.92176,0.92023,0.9206,4339
1638532800,0.9206,0.92084,0.91693,0.91933,6668
1638547200,0.91933,0.92112,0.91789,0.91809,10856
1638561600,0.91809,0.91857,0.91656,0.91795,4516
1638748800,0.91718,0.92017,0.9165,0.91994,2175
1638763200,0.91994,0.92077,0.91979,0.92075,1707
1638777600,0.92074,0.92275,0.92051,0.92257,4449
1638792000,0.92257,0.92318,0.92099,0.92245,5536
1638806400,0.92244,0.92648,0.92147,0.92638,7496
1638820800,0.92638,0.92689,0.92531,0.92544,2851
1638835200,0.92481,0.92574,0.92468,0.92516,1409
1638849600,0.92516,0.92516,0.92402,0.92489,1636
1638864000,0.92492,0.92539,0.92308,0.9235,4716
1638878400,0.92349,0.9275,0.9233,0.9266,6083
1638892800,0.92658,0.92699,0.92483,0.92647,6422
1638907200,0.92647,0.9266,0.92435,0.92477,2569
1638921600,0.9248,0.92512,0.92368,0.92403,1512
1638936000,0.92402,0.92419,0.9234,0.92352,1484
1638950400,0.92352,0.92525,0.92295,0.92419,4659
1638964800,0.92419,0.92516,0.92248,0.92256,8325
1638979200,0.92256,0.9239,0.9206,0.92067,6686
1638993600,0.92068,0.92107,0.91953,0.92051,2947
1639008000,0.91909,0.92131,0.91909,0.92124,1381
1639022400,0.92123,0.92149,0.92032,0.92101,1566
1639036800,0.92103,0.92182,0.92018,0.92173,4507
