time,open,high,low,close,volume
1632231000,0.92519,0.92523,0.9245,0.9246,464
1632232800,0.9246,0.92499,0.92399,0.92488,679
1632234600,0.92487,0.92511,0.92374,0.9239,547
1632236400,0.92388,0.92416,0.92363,0.92408,1031
1632238200,0.92408,0.92449,0.92347,0.92348,1050
1632240000,0.92354,0.92424,0.92319,0.92344,877
1632241800,0.92344,0.92384,0.92314,0.92374,1187
1632243600,0.92374,0.92488,0.92363,0.92389,1098
1632245400,0.92387,0.92403,0.92252,0.92287,1096
1632247200,0.92288,0.9239,0.92256,0.92387,776
1632249000,0.92387,0.92397,0.92342,0.92356,556
1632250800,0.92356,0.92382,0.92341,0.92356,353
1632252600,0.92355,0.92389,0.92323,0.92339,479
1632254400,0.92339,0.92397,0.92329,0.9239,534
1632256200,0.92389,0.9244,0.92374,0.92375,331
1632258000,0.92374,0.92383,0.92332,0.92368,355
1632259800,0.92368,0.92368,0.92335,0.92345,263
1632261600,0.92345,0.92355,0.92335,0.92338,200
1632263400,0.92338,0.92338,0.92307,0.92336,324
1632265200,0.92336,0.92373,0.92336,0.92363,209
1632267000,0.92363,0.92363,0.92345,0.92353,146
1632268800,0.92315,0.92337,0.92279,0.92335,39
1632270600,0.92335,0.92386,0.923,0.92302,152
1632272400,0.92341,0.92348,0.92313,0.92341,252
1632274200,0.92341,0.92369,0.92341,0.92366,104
1632276000,0.92366,0.92376,0.9236,0.9237,72
1632277800,0.9237,0.92371,0.92346,0.92353,75
1632279600,0.92353,0.9237,0.92332,0.9237,231
1632281400,0.9237,0.92431,0.92368,0.92422,167
1632283200,0.92422,0.92456,0.92378,0.92412,846
1632285000,0.92412,0.92432,0.92397,0.924,314
1632286800,0.92401,0.92405,0.92375,0.92384,234
1632288600,0.92384,0.9241,0.92377,0.92408,215
1632290400,0.92408,0.92448,0.92406,0.92435,169
1632292200,0.92435,0.92481,0.92432,0.9247,200
1632294000,0.92472,0.92488,0.92462,0.92477,186
1632295800,0.92477,0.92478,0.92428,0.92472,180
1632297600,0.92472,0.92473,0.92445,0.92454,198
1632299400,0.92454,0.92491,0.92446,0.9248,313
1632301200,0.92477,0.92494,0.92407,0.92454,456
1632303000,0.92454,0.92504,0.9241,0.92412,262
1632304800,0.92417,0.9244,0.92332,0.92353,592
1632306600,0.92353,0.92374,0.92255,0.92288,691
1632308400,0.9229,0.92373,0.92275,0.92357,641
1632310200,0.92358,0.92371,0.92223,0.92231,651
1632312000,0.9223,0.92265,0.92198,0.92256,498
1632313800,0.92256,0.92267,0.92223,0.92266,419
1632315600,0.92266,0.92284,0.92231,0.92233,299
1632317400,0.92233,0.92239,0.92173,0.92202,486
1632319200,0.92202,0.9224,0.9217,0.92223,489
1632321000,0.92223,0.92244,0.92199,0.92233,382
1632322800,0.92229,0.92285,0.92218,0.92234,645
1632324600,0.92234,0.92275,0.92212,0.92236,827
1632326400,0.92237,0.92251,0.92184,0.92239,546
1632328200,0.92239,0.92331,0.92221,0.9229,876
1632330000,0.92286,0.92309,0.92185,0.92192,677
1632331800,0.92194,0.92307,0.92161,0.92252,742
1632333600,0.92252,0.92292,0.92216,0.92223,586
1632335400,0.92223,0.92276,0.92218,0.92236,684
1632337200,0.92238,0.92299,0.92212,0.92298,503
1632339000,0.92298,0.92318,0.92274,0.92304,372
