time,open,high,low,close,volume
1632232800,109.512,109.516,109.361,109.398,1106
1632236400,109.394,109.47,109.265,109.279,2159
1632240000,109.287,109.363,109.212,109.31,2544
1632243600,109.312,109.336,109.188,109.213,2195
1632247200,109.212,109.337,109.188,109.333,1391
1632250800,109.333,109.354,109.247,109.255,932
1632254400,109.255,109.302,109.234,109.254,945
1632258000,109.254,109.262,109.22,109.22,843
1632261600,109.222,109.237,109.184,109.199,650
1632265200,109.2,109.224,109.188,109.215,342
1632268800,109.194,109.239,109.193,109.217,799
1632272400,109.219,109.259,109.206,109.238,686
1632276000,109.237,109.239,109.134,109.154,591
1632279600,109.154,109.286,109.121,109.246,1544
1632283200,109.247,109.485,109.184,109.378,2618
1632286800,109.378,109.443,109.335,109.432,1320
1632290400,109.431,109.479,109.418,109.475,1377
1632294000,109.475,109.522,109.448,109.518,824
1632297600,109.517,109.553,109.497,109.52,1246
1632301200,109.521,109.6,109.521,109.568,1672
1632304800,109.57,109.604,109.41,109.441,2261
1632308400,109.441,109.537,109.441,109.508,1316
1632312000,109.508,109.555,109.476,109.508,1335
1632315600,109.508,109.559,109.505,109.513,814
1632319200,109.512,109.543,109.479,109.53,1219
1632322800,109.53,109.613,109.503,109.6,1490
1632326400,109.6,109.621,109.546,109.557,1571
1632330000,109.556,109.644,109.496,109.615,1609
1632333600,109.616,109.635,109.56,109.604,1280
1632337200,109.604,109.628,109.593,109.6,881
1632340800,109.6,109.64,109.585,109.591,737
1632344400,109.594,109.893,109.522,109.855,4518
1632348000,109.856,109.901,109.727,109.777,2824
1632351600,109.777,109.814,109.771,109.81,610
1632355200,109.729,109.799,109.721,109.79,387
1632358800,109.788,109.813,109.775,109.784,388
1632362400,109.784,109.837,109.775,109.825,405
1632366000,109.823,109.888,109.805,109.851,1061
1632369600,109.85,109.903,109.837,109.886,849
1632373200,109.887,109.924,109.863,109.87,739
1632376800,109.87,109.871,109.797,109.816,451
1632380400,109.815,109.828,109.802,109.811,398
1632384000,109.811,109.842,109.798,109.837,487
1632387600,109.837,109.902,109.825,109.882,1415
1632391200,109.883,109.989,109.853,109.951,2087
1632394800,109.952,109.963,109.906,109.943,1532
1632398400,109.943,110.002,109.941,109.958,1443
1632402000,109.958,109.968,109.764,109.842,2069
1632405600,109.841,110.046,109.819,110.027,1871
1632409200,110.032,110.099,109.936,110.076,2115
1632412800,110.077,110.133,110.054,110.061,2134
1632416400,110.063,110.148,110.05,110.126,1961
1632420000,110.126,110.201,110.124,110.175,1374
1632423600,110.175,110.198,110.135,110.177,949
1632427200,110.175,110.187,110.156,110.179,505
1632430800,110.179,110.243,110.179,110.242,656
1632434400,110.242,110.289,110.235,110.266,619
1632438000,110.267,110.348,110.262,110.33,571
1632441600,110.302,110.312,110.286,110.306,294
1632445200,110.307,110.315,110.255,110.289,732
1632448800,110.287,110.343,110.274,110.329,459
1632452400,110.329,110.418,110.312,110.371,1839
1632456000,110.372,110.412,110.315,110.319,1187
1632459600,110.32,110.397,110.32,110.395,794
1632463200,110.395,110.447,110.388,110.421,989
1632466800,110.423,110.442,110.389,110.439,745
1632470400,110.439,110.488,110.414,110.477,807
1632474000,110.478,110.57,110.474,110.568,1387
1632477600,110.567,110.567,110.465,110.467,1996
1632481200,110.47,110.482,110.314,110.422,1615
1632484800,110.422,110.44,110.352,110.385,1162
1632488400,110.385,110.454,110.368,110.433,1071
1632492000,110.433,110.561,110.415,110.536,1321
1632495600,110.537,110.587,110.474,110.554,1765
1632499200,110.554,110.696,110.541,110.684,1930
1632502800,110.684,110.744,110.617,110.717,1817
1632506400,110.718,110.74,110.621,110.71,1255
1632510000,110.711,110.765,110.672,110.755,870
1632513600,110.755,110.765,110.733,110.753,657
1632517200,110.753,110.793,110.74,110.791,543
1632520800,110.792,110.792,110.748,110.748,359
1632524400,110.748,110.776,110.733,110.739,470
1632700800,110.714,110.733,110.641,110.671,234
1632704400,110.689,110.796,110.689,110.793,380
1632708000,110.79,110.796,110.74,110.771,410
1632711600,110.767,110.804,110.653,110.737,1317
1632715200,110.737,110.742,110.629,110.658,993
1632718800,110.657,110.672,110.611,110.627,809
1632722400,110.627,110.629,110.535,110.575,772
1632726000,110.576,110.58,110.547,110.551,533
1632729600,110.551,110.637,110.551,110.63,628
