time,open,high,low,close,volume
1631836800,22.915,22.951999999999998,22.887,22.951999999999998,1832
1631851200,22.95,22.959,22.814,22.951999999999998,5794
1631865600,22.954,23.125,22.926,23.122,7682
1631880000,23.122,23.134,22.782,22.788,9075
1631894400,22.786,22.837,22.336,22.413,16487
1631908800,22.414,22.474,22.331,22.376,3470
1632096000,22.401,22.42,22.148,22.357,2818
1632110400,22.354,22.358,22.034,22.24,5860
1632124800,22.239,22.502,22.219,22.478,8071
1632139200,22.474,22.51,22.249,22.441,8769
1632153600,22.438,22.513,22.158,22.226,15257
1632168000,22.224,22.281,22.159,22.28,4031
1632182400,22.274,22.303,22.247,22.254,1950
1632196800,22.254,22.339,22.238,22.248,2859
1632211200,22.249,22.555,22.24,22.52,6113
1632225600,22.519,22.661,22.475,22.529,8618
1632240000,22.53,22.72,22.378,22.648,13326
1632254400,22.647,22.665,22.476,22.477,4671
1632268800,22.496,22.515,22.466,22.493,1741
1632283200,22.49,22.899,22.483,22.764,7287
1632297600,22.762,22.87,22.686,22.712,6158
1632312000,22.715,22.79,22.636,22.767,5752
1632326400,22.769,22.971,22.731,22.915,12101
1632340800,22.916,23.141,22.593,22.677,14600
1632355200,22.72,22.734,22.63,22.659,1824
1632369600,22.658,22.661,22.495,22.631,4637
1632384000,22.63,22.833,22.562,22.758,6695
1632398400,22.761,22.877,22.617,22.668,8664
1632412800,22.667,22.73,22.543,22.683,14409
1632427200,22.683,22.723,22.466,22.48,2917
1632441600,22.553,22.65,22.544,22.644,1450
1632456000,22.647,22.692,22.606,22.656,4529
1632470400,22.661,22.797,22.613,22.689,6599
1632484800,22.689,22.691,22.382,22.419,7536
1632499200,22.419,22.483,22.106,22.392,14054
1632513600,22.396,22.434,22.327,22.398,2911
1632700800,22.44,22.507,22.397,22.492,2142
1632715200,22.492,22.739,22.468,22.639,6427
1632729600,22.638,22.692,22.495,22.501,8011
1632744000,22.5,22.708,22.444,22.684,9803
1632758400,22.684,22.85,22.552,22.693,14465
1632772800,22.693,22.718,22.607,22.612,2722
1632787200,22.628,22.639,22.554,22.563,1253
1632801600,22.558,22.668,22.475,22.629,5110
1632816000,22.629,22.65,22.275,22.369,9826
1632830400,22.368,22.388,22.098,22.239,11090
1632844800,22.238,22.554,22.177,22.467,19582
1632859200,22.468,22.497,22.379,22.451,4769
1632873600,22.448,22.505,22.443,22.467,1545
1632888000,22.467,22.548000000000002,22.409,22.43,5621
