time,open,high,low,close,volume
1631829600,22.842,22.935,22.84,22.924,629
1631831400,22.924,22.943,22.909,22.937,446
1631833200,22.937,22.944,22.904,22.904,238
1631835000,22.906,22.911,22.878,22.892,249
1631840400,22.915,22.915,22.889,22.903,232
1631842200,22.902,22.905,22.887,22.903,127
1631844000,22.903,22.921,22.901,22.914,208
1631845800,22.914,22.942,22.913,22.931,301
1631847600,22.932,22.95,22.921,22.941,504
1631849400,22.938,22.951999999999998,22.933,22.951999999999998,460
1631851200,22.95,22.951999999999998,22.867,22.879,1491
1631853000,22.878,22.9,22.814,22.818,1251
1631854800,22.819,22.858,22.818,22.838,606
1631856600,22.836,22.894,22.825,22.894,685
1631858400,22.892,22.95,22.887,22.922,887
1631860200,22.923000000000002,22.939,22.92,22.934,275
1631862000,22.935,22.957,22.931,22.954,312
1631863800,22.955,22.959,22.947,22.951999999999998,287
1631865600,22.954,22.983,22.951999999999998,22.967,447
1631867400,22.97,22.984,22.926,22.941,1152
1631869200,22.942,22.974,22.934,22.934,873
1631871000,22.937,22.979,22.931,22.936,1186
1631872800,22.936,22.999,22.929,22.979,1273
1631874600,22.979,22.986,22.931,22.97,814
1631876400,22.97,23.043,22.956,23.036,847
1631878200,23.035,23.125,23.035,23.122,1090
1631880000,23.122,23.133,23.081,23.081,823
1631881800,23.08,23.13,23.078,23.109,891
1631883600,23.108,23.134,23.049,23.054,910
1631885400,23.056,23.058,22.997,23.021,903
1631887200,23.02,23.023,22.984,22.998,946
1631889000,22.996,23.012,22.93,22.975,1009
1631890800,22.975,22.986,22.86,22.903,1762
1631892600,22.907,22.908,22.782,22.788,1831
1631894400,22.786,22.837,22.625,22.643,2493
1631896200,22.642,22.682,22.488,22.537,3610
1631898000,22.536,22.62,22.336,22.43,3472
1631899800,22.429,22.528,22.412,22.488,2614
1631901600,22.49,22.562,22.442,22.508,1692
1631903400,22.51,22.554,22.476,22.476,1169
1631905200,22.475,22.515,22.433,22.485,832
1631907000,22.484,22.493,22.408,22.413,605
1631908800,22.414,22.433,22.331,22.393,729
1631910600,22.397,22.403,22.371,22.372,487
1631912400,22.374,22.393,22.362,22.385,543
1631914200,22.384,22.436,22.38,22.429,326
1631916000,22.432,22.474,22.425,22.437,464
1631917800,22.435,22.441,22.386,22.387,535
1631919600,22.385,22.408,22.385,22.387,245
1631921400,22.386,22.399,22.37,22.376,141
1632099600,22.401,22.42,22.148,22.235,720
1632101400,22.235,22.342,22.23,22.342,380
1632103200,22.337,22.4,22.321,22.397,341
1632105000,22.394,22.407,22.356,22.374,326
1632106800,22.375,22.402,22.353,22.388,612
1632108600,22.387,22.392,22.34,22.357,439
1632110400,22.354,22.358,22.312,22.34,669
1632112200,22.342,22.349,22.255,22.259,628
1632114000,22.258,22.259,22.034,22.101,1067
1632115800,22.099,22.177,22.059,22.137,1091
1632117600,22.138,22.199,22.118,22.182,604
1632119400,22.18,22.183,22.122,22.122,527
1632121200,22.123,22.182,22.082,22.172,664
1632123000,22.17,22.273,22.155,22.24,610
1632124800,22.239,22.359,22.219,22.332,709
1632126600,22.331,22.368,22.318,22.348,703
1632128400,22.345,22.447,22.337,22.422,876
1632130200,22.419,22.496,22.404,22.481,1067
1632132000,22.481,22.492,22.435,22.437,1542
1632133800,22.437,22.481,22.437,22.455,1061
1632135600,22.456,22.499,22.449,22.498,1045
1632137400,22.497,22.502,22.466,22.478,1068
1632139200,22.474,22.488,22.44,22.455,897
1632141000,22.455,22.477,22.439,22.446,993
1632142800,22.445,22.51,22.444,22.502,757
1632144600,22.5,22.503,22.384,22.387,697
1632146400,22.391,22.403,22.36,22.377,768
1632148200,22.379,22.405,22.249,22.321,1095
1632150000,22.316,22.421,22.293,22.382,1599
1632151800,22.383,22.461,22.329,22.441,1963
1632153600,22.438,22.448,22.274,22.299,1860
1632155400,22.297,22.404,22.158,22.351,3643
1632157200,22.346,22.475,22.258,22.397,3032
1632159000,22.396,22.513,22.372,22.423,2222
1632160800,22.424,22.47,22.367,22.384,1596
1632162600,22.388,22.394,22.283,22.287,937
1632164400,22.286,22.297,22.176,22.209,1255
1632166200,22.207,22.245,22.186,22.226,712
1632168000,22.224,22.23,22.195,22.217,594
1632169800,22.219,22.241,22.219,22.233,261
1632171600,22.234,22.238,22.159,22.166,591
1632173400,22.167,22.208,22.166,22.187,818
1632175200,22.187,22.215,22.185,22.215,719
1632177000,22.215,22.268,22.204,22.238,628
1632178800,22.239,22.271,22.228,22.271,240
1632180600,22.268,22.281,22.255,22.28,180
1632186000,22.274,22.284,22.263,22.284,142
1632187800,22.282,22.291,22.274,22.276,151
1632189600,22.279,22.294,22.272,22.293,214
1632191400,22.294,22.303,22.274,22.293,293
1632193200,22.292,22.303,22.27,22.277,605
1632195000,22.274,22.281,22.247,22.254,545
1632196800,22.254,22.316,22.243,22.3,536
1632198600,22.299,22.333,22.289,22.33,633
1632200400,22.331,22.339,22.302,22.306,424
1632202200,22.306,22.306,22.288,22.295,306
1632204000,22.294,22.31,22.274,22.295,375
1632205800,22.295,22.299,22.278,22.284,213
1632207600,22.279,22.298,22.27,22.27,188
1632209400,22.268,22.269,22.238,22.248,184
1632211200,22.249,22.275,22.24,22.274,320
1632213000,22.273,22.302,22.251,22.295,480
1632214800,22.296,22.357,22.286,22.354,785
1632216600,22.355,22.356,22.267,22.279,707
1632218400,22.278,22.363,22.264,22.343,1245
1632220200,22.344,22.39,22.327,22.39,797
1632222000,22.398,22.455,22.372,22.396,882
1632223800,22.394,22.555,22.38,22.52,897
1632225600,22.519,22.553,22.501,22.518,904
1632227400,22.517,22.57,22.517,22.566,506
1632229200,22.566,22.598,22.542,22.598,775
1632231000,22.598,22.655,22.565,22.593,612
1632232800,22.597,22.61,22.523,22.542,846
1632234600,22.542,22.59,22.522,22.582,788
1632236400,22.586,22.66,22.475,22.624,2135
1632238200,22.625,22.661,22.522,22.529,2052
1632240000,22.53,22.557,22.498,22.531,1496
1632241800,22.529,22.58,22.455,22.517,2942
1632243600,22.515,22.565,22.378,22.458,2521
1632245400,22.458,22.548000000000002,22.442,22.486,1806
1632247200,22.484,22.649,22.478,22.647,1482
1632249000,22.649,22.72,22.621,22.626,1307
1632250800,22.627,22.637,22.601,22.604,1037
1632252600,22.604,22.649,22.593,22.648,735
1632254400,22.647,22.665,22.599,22.606,993
1632256200,22.606,22.614,22.53,22.553,779
1632258000,22.551,22.566,22.513,22.515,694
1632259800,22.515,22.565,22.515,22.556,594
1632261600,22.558,22.57,22.543,22.547,671
1632263400,22.548000000000002,22.558,22.503,22.51,549
