time,open,high,low,close,volume
1631664000,1803.94,1806.86,1790.72,1793.73,91694
1631750400,1794.17,1796.17,1745.34,1752.72,112703
1631836800,1753.74,1767.49,1747.43,1753.92,103307
1632096000,1754.37,1767.01,1742.46,1764.82,112868
1632182400,1764.49,1781.74,1757.94,1773.89,108467
1632268800,1774.92,1787.21,1764.7,1767.99,115796
1632355200,1768.81,1776.54,1737.86,1742.48,116654
1632441600,1744.75,1757.69,1740.46,1749.72,100549
1632700800,1749.87,1760.83,1744.87,1750.15,98221
1632787200,1750.72,1754.44,1728.14,1733.53,123498
1632873600,1734.25,1745.52,1721.66,1726.46,113229
1632960000,1726.68,1764.21,1722.23,1757.16,90455
1633046400,1755.77,1764.3,1749.75,1760.15,84805
1633305600,1760.86,1770.57,1747.74,1769.35,82839
1633392000,1768.56,1769.41,1748.61,1759.87,82729
1633478400,1760.06,1765.09,1745.86,1762.87,94435
1633564800,1763.03,1766.95,1751.97,1754.91,64872
1633651200,1756.0,1781.31,1753.35,1757.1,70509
1633910400,1757.04,1761.01,1750.13,1754.11,71862
1633996800,1753.88,1769.33,1750.74,1760.19,82403
1634083200,1760.78,1796.14,1757.9,1792.98,87833
1634169600,1793.04,1800.57,1786.7,1795.83,70969
1634256000,1796.11,1796.47,1764.85,1767.82,83737
1634515200,1767.22,1772.09,1760.31,1764.46,73379
1634601600,1764.99,1785.14,1762.96,1768.59,81124
1634688000,1769.39,1788.42,1766.87,1781.74,80119
1634774400,1782.5,1789.4,1776.51,1782.46,90572
1634860800,1783.37,1813.83,1782.9,1792.68,93101
1635120000,1793.05,1810.01,1792.29,1806.91,77043
1635206400,1807.43,1808.31,1782.37,1793.37,64469
1635292800,1793.09,1799.06,1783.5,1796.45,91540
1635379200,1796.81,1810.42,1792.33,1798.9,86625
1635465600,1799.49,1801.17,1771.96,1782.6,104631
1635724800,1783.36,1795.81,1779.14,1793.27,85354
1635811200,1792.82,1796.42,1786.38,1787.55,92713
1635897600,1787.73,1788.24,1758.82,1772.08,105608
1635984000,1771.48,1798.91,1770.81,1791.95,81755
1636070400,1791.2,1818.27,1785.03,1818.18,109069
1636329600,1815.65,1826.48,1812.4,1824.6,85095
1636416000,1824.29,1832.74,1819.16,1831.79,96891
1636502400,1831.73,1868.52,1822.3,1849.91,89512
1636588800,1849.01,1865.96,1842.91,1862.06,76291
1636675200,1861.82,1868.65,1845.23,1864.43,82069
1636934400,1866.82,1870.45,1856.34,1862.83,74449
1637020800,1863.13,1877.18,1849.69,1850.14,87005
1637107200,1850.21,1868.05,1849.55,1867.23,80670
1637193600,1866.22,1870.94,1855.09,1858.7,79240
1637280000,1859.22,1865.7,1842.95,1845.51,67888
1637539200,1842.06,1849.08,1802.3,1805.56,84314
1637625600,1808.1,1812.39,1781.98,1790.24,95759
1637712000,1789.1,1796.41,1778.54,1789.47,84547
1637798400,1787.96,1795.07,1786.02,1788.75,44429
1637884800,1790.45,1815.51,1780.57,1788.1,100072
1638144000,1788.92,1799.41,1774.22,1785.27,93094
1638230400,1785.18,1808.68,1769.87,1774.08,111135
1638316800,1775.78,1794.53,1772.2,1782.82,105017
1638403200,1781.47,1783.31,1761.93,1768.81,98368
1638489600,1769.74,1786.09,1766.14,1783.89,93085
1638748800,1782.14,1787.66,1775.72,1778.28,64709
1638835200,1779.1,1787.79,1772.2,1784.28,73560
1638921600,1784.74,1793.08,1779.64,1782.37,77882
1639008000,1783.03,1787.6,1773.28,1774.8,53106
1639094400,1775.89,1789.45,1770.13,1782.76,67953
1639353600,1782.76,1791.63,1781.84,1787.15,57690
1639440000,1785.96,1789.55,1766.52,1770.49,66609
1639526400,1771.35,1780.82,1752.92,1777.27,74059
1639612800,1778.54,1799.39,1775.52,1799.33,76957
1639699200,1798.43,1814.26,1795.86,1797.96,75467
