time,open,high,low,close,volume
1631602800,1791.04,1792.08,1790.63,1790.83,2168
1631606400,1790.99,1793.4,1790.48,1793.0,4036
1631610000,1793.06,1793.26,1791.7,1792.48,7346
1631613600,1792.51,1794.82,1790.17,1790.62,4945
1631617200,1790.59,1790.74,1788.17,1788.89,3923
1631620800,1788.88,1789.11,1787.41,1787.86,3238
1631624400,1787.83,1787.83,1785.42,1786.73,3308
1631628000,1786.77,1788.16,1782.25,1784.4,4362
1631631600,1784.49,1799.03,1780.69,1797.17,9835
1631635200,1797.25,1800.54,1790.88,1794.17,11153
1631638800,1794.18,1807.91,1792.09,1804.31,11017
1631642400,1804.49,1808.66,1804.24,1805.75,6338
1631646000,1805.76,1806.45,1803.32,1803.65,4144
1631649600,1803.63,1806.08,1803.21,1805.72,3488
1631653200,1805.7,1806.72,1802.98,1803.04,3470
1631656800,1803.1,1805.41,1802.95,1805.2,3124
1631660400,1805.17,1805.4,1804.39,1804.69,1206
1631667600,1803.94,1804.34,1803.53,1804.01,943
1631671200,1803.99,1804.65,1803.71,1803.73,1049
1631674800,1803.73,1804.21,1802.62,1802.85,2174
1631678400,1802.81,1804.06,1801.4,1803.71,4453
1631682000,1803.72,1804.65,1802.07,1802.82,3784
1631685600,1802.8,1803.8,1802.41,1803.5,2172
1631689200,1803.47,1803.82,1802.56,1803.36,1635
1631692800,1803.34,1803.99,1801.73,1802.76,2936
1631696400,1802.84,1804.32,1799.68,1800.46,5743
1631700000,1800.4,1802.22,1799.64,1801.86,4429
1631703600,1801.87,1802.65,1798.96,1800.54,4247
1631707200,1800.55,1802.6,1799.74,1801.85,3553
1631710800,1801.83,1802.47,1800.95,1802.44,2929
1631714400,1802.43,1803.45,1801.36,1802.09,4099
1631718000,1802.33,1806.86,1794.96,1796.57,8062
1631721600,1796.58,1800.04,1794.47,1796.9,9879
1631725200,1796.81,1798.13,1791.78,1793.96,9603
1631728800,1793.96,1795.01,1791.32,1793.89,6542
1631732400,1793.87,1793.92,1791.79,1793.13,3813
1631736000,1793.13,1794.02,1792.35,1792.37,2827
1631739600,1792.41,1793.39,1790.72,1793.22,2914
1631743200,1793.22,1794.28,1791.67,1794.17,2734
1631746800,1794.26,1794.32,1793.1,1793.73,1174
1631754000,1794.17,1795.64,1793.7,1794.31,1740
1631757600,1794.35,1795.3,1793.52,1795.07,1618
1631761200,1795.06,1795.4,1793.62,1794.93,2584
1631764800,1794.95,1796.08,1792.45,1795.73,4680
1631768400,1795.71,1796.17,1794.21,1794.23,3116
1631772000,1794.23,1794.26,1791.01,1791.38,2986
1631775600,1791.34,1791.88,1789.65,1791.03,2312
1631779200,1791.06,1792.16,1785.9,1786.89,4458
1631782800,1786.82,1787.22,1784.07,1785.78,6140
1631786400,1785.73,1786.78,1782.8,1785.84,5495
1631790000,1785.96,1786.5,1784.05,1784.7,4217
1631793600,1784.66,1784.68,1777.69,1777.91,5250
